,date,retail and recreation,grocery and pharmacy,parks,transit,workplaces,residential,sub region
52,1/31/2021,-12.41935484,25.80645161,-3.064516129,-13.58064516,-5.516129032,12.5483871,Bhagalpur
53,1/31/2021,-4.129032258,37.51612903,-7.741935484,-13.61290323,-7.516129032,14.64516129,Bhojpur
54,1/31/2021,-16.12903226,13.09677419,-3.322580645,-12.80645161,-8.516129032,11.96774194,Buxar
55,1/31/2021,-6.129032258,5.935483871,31.80645161,9.548387097,-4.870967742,11.83870968,Darbhanga
56,1/31/2021,-11.80645161,15.51612903,5.612903226,-9.161290323,-7.451612903,13.74193548,Gaya
57,1/31/2021,-7.451612903,47.29032258,-3.806451613,-2.483870968,-1.387096774,10.51612903,Gopalganj
58,1/31/2021,1.290322581,17.16129032,-6.516129032,7.419354839,-0.967741935,14.12903226,Jamui
59,1/31/2021,0.548387097,-18.87096774,2.379310345,12.06451613,-0.967741935,13.74193548,Jehanabad
60,1/31/2021,4.290322581,63.32258065,56.29032258,22.09677419,4.419354839,16.06451613,Kaimur
61,1/31/2021,-15.41935484,32.48387097,22.61290323,-19.38709677,-7.806451613,14.29032258,Katihar
62,1/31/2021,-7.064516129,74.92307692,-29.41935484,-9.548387097,-2.290322581,10.0,Khagaria
63,1/31/2021,-22.80645161,-9.451612903,19.87096774,-17.58064516,-11.5483871,13.96774194,Kishanganj
64,1/31/2021,-4.451612903,-11.09677419,-26.16129032,-26.80645161,1.064516129,10.90322581,Lakhisarai
65,1/31/2021,-12.32258065,33.61290323,31.22580645,3.516129032,-6.612903226,12.93548387,Madhepura
66,1/31/2021,-9.387096774,36.09677419,28.32258065,5.516129032,2.290322581,10.25806452,Madhubani
67,1/31/2021,-2.161290323,-0.161290323,-1.903225806,-5.806451613,-4.419354839,9.870967742,Munger
68,1/31/2021,-11.32258065,17.61290323,36.64516129,-5.258064516,-6.451612903,12.83870968,Muzaffarpur
69,1/31/2021,-14.51612903,38.64516129,-8.774193548,6.741935484,-5.548387097,13.80645161,Nalanda
70,1/31/2021,-15.5483871,29.96774194,49.0,2.35483871,-8.774193548,13.83870968,Nawada
71,1/31/2021,-6.516129032,57.25806452,-17.03225806,-8.548387097,-1.35483871,15.06451613,Pashchim Champaran
72,1/31/2021,-21.4516129,24.51612903,-22.4516129,-11.35483871,-15.51612903,11.12903226,Patna
73,1/31/2021,-4.129032258,28.61290323,0.806451613,-9.806451613,-5.193548387,13.19354839,Purnia
74,1/31/2021,-13.19354839,23.29032258,31.32258065,-1.838709677,-2.741935484,14.48387097,Purvi Champaran
75,1/31/2021,-9.0,27.5483871,17.58064516,-4.258064516,-7.387096774,13.80645161,Rohtas
76,1/31/2021,-11.70967742,20.90322581,35.48387097,4.677419355,-3.419354839,12.32258065,Saharsa
77,1/31/2021,-3.451612903,20.67741935,8.548387097,1.129032258,-2.064516129,10.22580645,Samastipur
78,1/31/2021,-10.64516129,34.25806452,11.35483871,-7.258064516,-5.870967742,11.25806452,Saran
79,1/31/2021,-28.70967742,54.41935484,9.064516129,7.419354839,8.677419355,13.74193548,Sheikhpura
80,1/31/2021,-20.09090909,28.74193548,,22.67741935,-3.935483871,10.29032258,Sheohar
81,1/31/2021,-11.96774194,10.61290323,33.25806452,-6.419354839,-2.774193548,11.35483871,Siwan
82,1/31/2021,-2.838709677,36.64516129,34.80645161,-4.903225806,-8.161290323,13.25806452,Supaul
83,1/31/2021,-9.870967742,19.16129032,23.80645161,-4.0,-2.483870968,10.19354839,Vaishali
84,1/31/2021,-2.741935484,4.451612903,40.90322581,7.935483871,-6.709677419,13.12903226,Balod
85,1/31/2021,-10.61290323,25.64516129,-0.032258065,-18.35483871,-13.4516129,11.64516129,Baloda Bazar
86,1/31/2021,-20.80645161,13.37037037,3.064516129,1.612903226,-21.5483871,11.61290323,Balrampur
87,1/31/2021,-13.64516129,-7.935483871,-30.64516129,37.38709677,-20.64516129,13.22580645,Bastar
88,1/31/2021,-9.096774194,14.29032258,1.64516129,-41.0,-15.87096774,11.19354839,Bemetara
89,1/31/2021,,,-17.32258065,,-18.87096774,-5.333333333,Bijapur
90,1/31/2021,-17.25806452,24.09677419,-12.83870968,-18.0,-11.38709677,12.93548387,Bilaspur
91,1/31/2021,-21.64516129,,40.7037037,-23.4516129,-20.80645161,4.387096774,Dantewada
92,1/31/2021,-1.709677419,2.806451613,-5.0,16.35483871,-18.03225806,10.87096774,Dhamtari
93,1/31/2021,-16.83870968,17.22580645,1.096774194,-30.74193548,-14.58064516,11.74193548,Durg
94,1/31/2021,-70.0,14.0,,,-24.51612903,10.86956522,Gariaband
95,1/31/2021,-20.77419355,38.58064516,29.06451613,-26.5483871,-11.4516129,11.87096774,Janjgir-Champa
96,1/31/2021,-20.90322581,38.23333333,-22.0,4.903225806,-5.612903226,10.90322581,Jashpur
97,1/31/2021,-17.64516129,8.827586207,2.0,-28.96774194,-11.16129032,6.322580645,Kanker
98,1/31/2021,4.35483871,38.04347826,-34.09677419,-56.22580645,-13.96774194,12.67741935,Kawardha
99,1/31/2021,-20.48387097,,-25.70967742,16.19354839,-20.70967742,10.12903226,Kondagaon
100,1/31/2021,-11.19354839,13.22580645,-10.77419355,-7.903225806,-7.161290323,12.96774194,Korba
101,1/31/2021,-15.38709677,16.80645161,-0.129032258,-6.258064516,-14.22580645,9.741935484,Koriya
102,1/31/2021,-21.51612903,54.61290323,17.4516129,-3.967741935,-13.87096774,10.61290323,Mahasamund
103,1/31/2021,-32.09677419,-29.4516129,,38.0,-14.70967742,13.5483871,Mungeli
104,1/31/2021,,,,36.12903226,-15.29032258,,Narayanpur
105,1/31/2021,-23.48387097,7.709677419,13.77419355,-17.03225806,-12.12903226,12.09677419,Raigarh
106,1/31/2021,-26.93548387,15.58064516,1.225806452,-30.80645161,-14.80645161,10.22580645,Raipur
107,1/31/2021,-22.09677419,24.5483871,47.38709677,-14.12903226,-16.51612903,12.90322581,Rajnandgaon
108,1/31/2021,,,-29.88888889,11.29032258,-19.96774194,,Sukma
109,1/31/2021,-20.12903226,-5.269230769,12.67741935,20.09677419,-7.677419355,13.96774194,Surajpur
110,1/31/2021,-14.12903226,30.06451613,10.16129032,14.29032258,-5.64516129,12.35483871,Surguja
111,1/31/2021,-27.48387097,50.64516129,-19.5483871,6.806451613,-6.419354839,9.612903226,Dadra and Nagar Haveli
112,1/31/2021,-20.4516129,19.67741935,15.29032258,-9.322580645,-14.96774194,9.709677419,Daman
113,1/31/2021,-31.0,,8.612903226,2.967741935,-23.35483871,,Diu
114,1/31/2021,-42.83870968,-18.96774194,-40.5483871,-34.19354839,-31.77419355,8.290322581,Central Delhi
115,1/31/2021,-30.29032258,3.903225806,-40.74193548,-32.51612903,-35.90322581,9.032258065,East Delhi
116,1/31/2021,-45.12903226,-30.5483871,-48.77419355,-36.77419355,-33.74193548,9.129032258,New Delhi
117,1/31/2021,-34.09677419,17.16129032,-28.74193548,-15.77419355,-27.67741935,8.838709677,North Delhi
118,1/31/2021,-22.09677419,29.16129032,-46.58064516,3.225806452,-22.64516129,8.35483871,North East Delhi
119,1/31/2021,-34.09677419,0.903225806,-25.48387097,-18.25806452,-27.29032258,9.096774194,North West Delhi
120,1/31/2021,-25.83870968,-0.677419355,-39.87096774,-22.83870968,-26.90322581,8.548387097,Shahdara
121,1/31/2021,-37.70967742,-11.32258065,-39.70967742,-34.22580645,-33.83870968,9.967741935,South Delhi
122,1/31/2021,-29.58064516,-14.90322581,-38.06451613,-31.09677419,-33.25806452,9.096774194,South East Delhi
123,1/31/2021,-32.51612903,-2.741935484,-35.80645161,-23.16129032,-29.77419355,10.70967742,South West Delhi
124,1/31/2021,-32.12903226,-5.451612903,-37.87096774,-18.03225806,-29.87096774,9.032258065,West Delhi
125,1/31/2021,-26.67741935,1.903225806,-20.58064516,-10.77419355,-21.48387097,12.29032258,North Goa
126,1/31/2021,-22.51612903,-3.0,-34.77419355,-20.22580645,-16.16129032,10.70967742,South Goa
127,1/31/2021,-34.77419355,-0.225806452,-41.35483871,-14.16129032,-23.67741935,9.548387097,Ahmedabad
128,1/31/2021,-30.64516129,-2.0,-57.96774194,-10.06451613,-12.41935484,10.06451613,Amreli
129,1/31/2021,-26.35483871,-3.903225806,-23.90322581,-20.77419355,-17.35483871,10.29032258,Anand
130,1/31/2021,-12.4516129,-17.4516129,24.03225806,1.419354839,-12.06451613,11.90322581,Aravalli
131,1/31/2021,-12.77419355,14.48387097,-17.74193548,-5.903225806,-8.677419355,15.16129032,Banaskantha
132,1/31/2021,-14.93548387,21.70967742,-13.38709677,-23.51612903,-9.064516129,10.12903226,Bharuch
133,1/31/2021,-17.67741935,17.06451613,-16.35483871,1.806451613,-13.4516129,11.4516129,Bhavnagar
134,1/31/2021,-14.48387097,19.61290323,45.0,-17.77419355,-12.0,9.225806452,Botad
135,1/31/2021,-20.64516129,,21.0,-17.35483871,-9.516129032,9.096774194,Chhota Udaipur
136,1/31/2021,-5.741935484,11.29032258,-34.0,-13.0,-15.5483871,11.12903226,Dahod
137,1/31/2021,-26.0,,18.32258065,-37.19354839,-18.35483871,,Dang
138,1/31/2021,-24.38709677,30.77419355,38.64516129,-16.48387097,-9.290322581,11.64516129,Devbhoomi Dwarka
139,1/31/2021,-29.29032258,17.74193548,-34.09677419,-7.741935484,-23.12903226,10.48387097,Gandhinagar
140,1/31/2021,-14.29032258,-19.5483871,1.967741935,-17.16129032,-7.903225806,9.677419355,Gir Somnath
141,1/31/2021,-32.48387097,6.516129032,-23.19354839,-20.58064516,-18.74193548,9.64516129,Jamnagar
