date,retail and recreation,grocery and pharmacy,parks,transit,workplaces,residential,sub region
1/31/2021,-19.5483871,10.03225806,-24.16129032,-10.80645161,-20.29032258,9.741935484,Vishakhapatnam
4/30/2021,-19.3258427,15.14606742,-32.19101124,-8.471910112,-16.11235955,11.28089888,Vishakhapatnam
7/31/2021,-33.60869565,3.423913043,-43.35869565,-20.29347826,-25.98913043,16.07608696,Vishakhapatnam
10/31/2021,-11.94565217,22.32608696,-29.92391304,0.97826087,-16.20652174,10.25,Vishakhapatnam
1/31/2022,-4.295081967,27.06557377,-20.7704918,10.98360656,-7.868852459,8.754098361,Vishakhapatnam
1/31/2021,-14.16129032,20.25806452,-12.67741935,-13.06451613,-17.41935484,10.32258065,Vizianagaram
4/30/2021,-17.73033708,28.41573034,-16.47191011,-18.46067416,-13.35955056,11.26966292,Vizianagaram
7/31/2021,-26.7826087,25.05434783,-21.86956522,-29.43478261,-22.14130435,15.34782609,Vizianagaram
10/31/2021,-7.315217391,43.36956522,-9.695652174,-15.2173913,-13.67391304,10.22826087,Vizianagaram
1/31/2022,-2.098360656,56.32786885,-7.278688525,-3.967213115,-4.360655738,9.393442623,Vizianagaram
1/31/2021,-15.51612903,34.29032258,11.90322581,-7.903225806,-9.774193548,7.967741935,West Godavari
4/30/2021,-17.11235955,34.53932584,6.471910112,-10.94382022,-5.741573034,7.696629213,West Godavari
7/31/2021,-28.63043478,25.79347826,-0.086956522,-21.7826087,-13.56521739,12.75,West Godavari
10/31/2021,-6.695652174,49.31521739,19,-4.152173913,-3.423913043,7.184782609,West Godavari
1/31/2022,0.180327869,53.24590164,25.68852459,0.836065574,4.573770492,6.901639344,West Godavari
1/31/2021,-14.38709677,54.25806452,32.90322581,-0.548387097,-5.451612903,9.096774194,YSR District
4/30/2021,-14.65168539,50.7752809,14.91011236,-1.359550562,-4.06741573,8.730337079,YSR District
7/31/2021,-22.17391304,41.85869565,18.60869565,-8.163043478,-11.84782609,12.20652174,YSR District
10/31/2021,-2.913043478,56.83695652,37.08695652,10.92391304,-3.097826087,7.695652174,YSR District
1/31/2022,-2.491803279,59.32786885,38.3442623,12.60655738,1.491803279,8.901639344,YSR District
1/31/2021,,,-7.64516129,,-38.74193548,,East Kameng
4/30/2021,,,-29.34831461,,-43.37078652,,East Kameng
7/31/2021,,,-25.81521739,,-40.14130435,,East Kameng
10/31/2021,,,-24.79347826,,-31.81521739,,East Kameng
1/31/2022,,,-21.13114754,,-29.7704918,,East Kameng
1/31/2021,-53.44827586,-6,,-61.8,-17.61290323,7.75,East Siang
4/30/2021,-50.13636364,12.4,,-61.5,-18.13483146,5.76,East Siang
7/31/2021,-51.82608696,-9.777777778,,-61.05128205,-21.82608696,5.888888889,East Siang
10/31/2021,-35.35164835,-10.35714286,,-54.92647059,-15.27173913,5.47826087,East Siang
1/31/2022,-35.33333333,7,,-59.77142857,-8,5.416666667,East Siang
