,date,retail and recreation,grocery and pharmacy,parks,transit,workplaces,residential,sub region
0,7/31/2021,,,,,12.05479452,,North and Middle Andaman
1,7/31/2021,-10.16304348,,-36.55434783,8.02173913,-3.902173913,21.01086957,South Andaman
2,7/31/2021,-29.20652174,61.40217391,10.44565217,-15.97826087,-14.27173913,15.79347826,Anantapuram
3,7/31/2021,-29.85869565,27.47826087,-17.08695652,-31.0326087,-17.83695652,16.51086957,Chittoor
4,7/31/2021,-26.23913043,18.40217391,-32.13043478,-19.29347826,-17.94565217,13.41304348,East Godavari
5,7/31/2021,-26.89130435,19.90217391,-21.65217391,-20.16304348,-17.80434783,12.29347826,Guntur
6,7/31/2021,-34.5326087,12.88043478,-31.31521739,-26.23913043,-22.98913043,14.38043478,Krishna
7,7/31/2021,-19.08695652,36.14130435,-12.06521739,-15.08695652,-11.57608696,13.90217391,Kurnool
8,7/31/2021,-18.40217391,33.59782609,8.576086957,-7.989130435,-5.782608696,14.14130435,Prakasam
9,7/31/2021,-24.5326087,41.5,-27.93478261,-16.64130435,-11.16304348,13.72826087,Sri Potti Sriramulu Nellore District
10,7/31/2021,-25.34782609,10.98913043,-18.30434783,-18.01086957,-17.01086957,15.2173913,Srikakulam
11,7/31/2021,-33.60869565,3.423913043,-43.35869565,-20.29347826,-25.98913043,16.07608696,Vishakhapatnam
12,7/31/2021,-26.7826087,25.05434783,-21.86956522,-29.43478261,-22.14130435,15.34782609,Vizianagaram
13,7/31/2021,-28.63043478,25.79347826,-0.086956522,-21.7826087,-13.56521739,12.75,West Godavari
14,7/31/2021,-22.17391304,41.85869565,18.60869565,-8.163043478,-11.84782609,12.20652174,YSR District
15,7/31/2021,,,-25.81521739,,-40.14130435,,East Kameng
16,7/31/2021,-51.82608696,-9.777777778,,-61.05128205,-21.82608696,5.888888889,East Siang
17,7/31/2021,-42.65217391,25.69565217,1.326086957,-21.14130435,-32.0,19.98913043,Papum Pare
18,7/31/2021,,,,,-45.82608696,,Tawang
19,7/31/2021,-31.57894737,,,,-40.55434783,2.740740741,West Kameng
20,7/31/2021,-21.18478261,2.793478261,-49.20652174,-30.5,-22.66304348,22.08695652,Baksa
21,7/31/2021,-21.67391304,27.06521739,18.05434783,-36.19565217,-6.923913043,17.04347826,Barpeta
22,7/31/2021,-27.51086957,0.47826087,36.38043478,-25.07608696,-13.23913043,18.84782609,Bongaigaon
23,7/31/2021,-30.9673913,-17.06521739,20.83695652,-24.35869565,-21.42391304,18.25,Cachar
24,7/31/2021,-34.25,-4.065217391,-1.423913043,-33.81521739,-16.68478261,16.2826087,Chirang
25,7/31/2021,-34.01086957,31.89130435,22.34782609,-10.73913043,-21.84782609,23.52173913,Darrang
26,7/31/2021,-8.358695652,8.0,-6.576086957,-27.04347826,-16.02173913,13.35869565,Dhemaji
27,7/31/2021,-15.80434783,1.054347826,-0.010869565,-8.858695652,-15.79347826,18.4673913,Dhubri
28,7/31/2021,-33.44565217,0.597826087,-15.58695652,-27.0,-12.41304348,17.84782609,Dibrugarh
29,7/31/2021,-23.35164835,,-17.18478261,-11.26086957,-23.34782609,13.4673913,Dima Hasao
30,7/31/2021,-26.56521739,2.358695652,-1.141304348,-35.09782609,-22.70652174,18.05434783,Goalpara
31,7/31/2021,-47.7173913,-35.88043478,-17.0,-45.76086957,-29.5,19.56521739,Golaghat
32,7/31/2021,-4.597826087,-7.369565217,8.793478261,-47.4673913,-8.184782609,18.2826087,Hailakandi
