,date,retail and recreation,grocery and pharmacy,parks,transit,workplaces,residential,sub region
0,1/31/2022,,,,,44.39130435,,North and Middle Andaman
1,1/31/2022,66.54098361,,13.09836066,65.42622951,26.24590164,10.52459016,South Andaman
2,1/31/2022,-9.803278689,89.1147541,26.13114754,5.93442623,-1.508196721,11.62295082,Anantapuram
3,1/31/2022,-9.344262295,52.54098361,-2.950819672,-11.8852459,-3.37704918,12.81967213,Chittoor
4,1/31/2022,4.721311475,46.57377049,-16.01639344,5.590163934,-0.114754098,7.081967213,East Godavari
5,1/31/2022,-2.540983607,46.06557377,-4.983606557,1.540983607,-0.655737705,7.426229508,Guntur
6,1/31/2022,-9.557377049,37.8852459,-3.131147541,-0.131147541,-5.737704918,7.803278689,Krishna
7,1/31/2022,0.754098361,55.57377049,4.147540984,3.885245902,3.229508197,9.819672131,Kurnool
8,1/31/2022,3.885245902,61.29508197,24.54098361,4.639344262,8.655737705,10.03278689,Prakasam
9,1/31/2022,-6.032786885,61.18032787,-13.70491803,0.918032787,2.983606557,9.967213115,Sri Potti Sriramulu Nellore District
10,1/31/2022,0.803278689,31.7704918,1.721311475,-1.213114754,2.327868852,9.491803279,Srikakulam
11,1/31/2022,-4.295081967,27.06557377,-20.7704918,10.98360656,-7.868852459,8.754098361,Vishakhapatnam
12,1/31/2022,-2.098360656,56.32786885,-7.278688525,-3.967213115,-4.360655738,9.393442623,Vizianagaram
13,1/31/2022,0.180327869,53.24590164,25.68852459,0.836065574,4.573770492,6.901639344,West Godavari
14,1/31/2022,-2.491803279,59.32786885,38.3442623,12.60655738,1.491803279,8.901639344,YSR District
15,1/31/2022,,,-21.13114754,,-29.7704918,,East Kameng
16,1/31/2022,-35.33333333,7.0,,-59.77142857,-8.0,5.416666667,East Siang
17,1/31/2022,-12.60655738,64.8852459,26.14754098,8.442622951,-14.24590164,12.19672131,Papum Pare
18,1/31/2022,,,,,-40.59016393,,Tawang
19,1/31/2022,-20.58823529,,,,-35.01639344,1.791666667,West Kameng
20,1/31/2022,15.85245902,36.81967213,-22.24590164,-7.213114754,0.213114754,12.59016393,Baksa
21,1/31/2022,16.52459016,45.45901639,39.18032787,0.081967213,25.81967213,9.836065574,Barpeta
22,1/31/2022,4.147540984,31.09836066,85.06557377,11.67213115,14.01639344,9.229508197,Bongaigaon
23,1/31/2022,5.032786885,24.37704918,44.27868852,8.540983607,-0.508196721,10.47540984,Cachar
24,1/31/2022,-6.737704918,30.44262295,5.737704918,-7.098360656,4.295081967,8.426229508,Chirang
25,1/31/2022,1.295081967,88.1147541,88.16393443,39.91803279,3.475409836,15.13114754,Darrang
26,1/31/2022,32.14754098,43.25,8.180327869,4.901639344,6.393442623,7.131147541,Dhemaji
27,1/31/2022,22.27868852,38.70491803,28.19672131,24.1147541,10.80327869,11.63934426,Dhubri
28,1/31/2022,11.31147541,45.39344262,9.491803279,1.819672131,10.19672131,10.0,Dibrugarh
29,1/31/2022,7.280701754,,21.81967213,15.62295082,-6.672131148,8.049180328,Dima Hasao
30,1/31/2022,12.16393443,51.93442623,37.29508197,13.03278689,6.098360656,10.04918033,Goalpara
31,1/31/2022,-15.91803279,-4.754098361,8.721311475,-13.8852459,-2.672131148,10.45901639,Golaghat
32,1/31/2022,37.62295082,11.68852459,26.78688525,-27.52459016,19.6557377,11.21311475,Hailakandi
33,1/31/2022,-4.360655738,35.62295082,17.60655738,-5.606557377,1.62295082,11.50819672,Jorhat
34,1/31/2022,-7.508196721,10.96721311,6.62295082,9.0,-1.114754098,10.70491803,Kamrup
35,1/31/2022,-12.98360656,11.32786885,-5.442622951,16.83606557,1.098360656,12.08196721,Kamrup Metropolitan
36,1/31/2022,-17.73770492,9.295081967,10.81967213,-10.60655738,-11.3442623,7.754098361,Karbi Anglong
37,1/31/2022,1.016393443,29.73770492,148.0163934,-4.409836066,1.93442623,13.60655738,Karimganj
38,1/31/2022,11.27868852,26.18032787,-4.295081967,-35.59016393,17.49180328,14.32786885,Kokrajhar
39,1/31/2022,17.0,12.86885246,20.21311475,-3.459016393,6.852459016,10.6557377,Lakhimpur
40,1/31/2022,-9.098360656,24.14754098,-12.62295082,55.85245902,0.672131148,7.573770492,Morigaon
41,1/31/2022,12.63934426,25.3442623,40.39344262,-8.754098361,1.983606557,11.45901639,Nagaon
42,1/31/2022,8.68852459,55.49180328,89.16393443,4.704918033,-2.262295082,11.01639344,Nalbari
43,1/31/2022,3.245901639,55.03278689,-4.606557377,-8.098360656,-5.639344262,9.426229508,Sivasagar
44,1/31/2022,3.967213115,54.95081967,30.1147541,-2.508196721,9.737704918,11.31147541,Sonitpur
45,1/31/2022,-7.278688525,105.4262295,17.14754098,-21.44262295,-3.918032787,8.803278689,Tinsukia
46,1/31/2022,18.1147541,7.966666667,3.852459016,-9.278688525,2.68852459,9.819672131,Udalguri
47,1/31/2022,16.45901639,64.60655738,14.83606557,10.31147541,0.295081967,10.09836066,Araria
48,1/31/2022,-5.557377049,,80.55737705,64.04918033,-1.163934426,9.852459016,Arwal
49,1/31/2022,15.14754098,34.29508197,42.93442623,42.81967213,3.049180328,10.06557377,Aurangabad
50,1/31/2022,25.70491803,95.0,-25.63934426,54.75409836,11.78688525,11.95081967,Banka
51,1/31/2022,18.81967213,112.2295082,44.96721311,20.40983607,6.213114754,5.016393443,Begusarai
52,1/31/2022,16.50819672,72.1147541,25.27868852,6.983606557,4.0,10.04918033,Bhagalpur
53,1/31/2022,29.91803279,78.31147541,-6.508196721,23.27868852,6.032786885,11.08196721,Bhojpur
54,1/31/2022,4.508196721,59.19672131,68.21311475,31.45901639,-0.93442623,8.327868852,Buxar
55,1/31/2022,21.44262295,44.16393443,82.01639344,44.62295082,2.213114754,9.081967213,Darbhanga
56,1/31/2022,13.24590164,72.01639344,40.68852459,31.96721311,3.803278689,10.85245902,Gaya
57,1/31/2022,18.60655738,89.86885246,32.96721311,40.39344262,12.7704918,6.098360656,Gopalganj
58,1/31/2022,31.93442623,69.19672131,24.03278689,66.73770492,15.39344262,10.21311475,Jamui
59,1/31/2022,19.6557377,7.163934426,46.57894737,43.6557377,13.29508197,11.68852459,Jehanabad
60,1/31/2022,32.36065574,110.9508197,68.50819672,61.91803279,22.08196721,12.73770492,Kaimur
61,1/31/2022,10.81967213,66.04918033,58.01639344,18.86885246,5.081967213,9.62295082,Katihar
62,1/31/2022,14.01639344,88.5,5.915254237,29.1147541,11.81967213,6.803278689,Khagaria
63,1/31/2022,-4.081967213,33.70491803,28.7704918,1.885245902,-3.442622951,10.6557377,Kishanganj
64,1/31/2022,24.72131148,18.56,44.01639344,10.49180328,9.147540984,7.950819672,Lakhisarai
65,1/31/2022,8.606557377,83.47540984,45.6557377,22.26229508,1.475409836,9.68852459,Madhepura
66,1/31/2022,14.0,63.47540984,77.86885246,40.16393443,6.836065574,7.360655738,Madhubani
67,1/31/2022,30.80327869,44.72131148,84.70491803,39.73770492,0.540983607,6.295081967,Munger
68,1/31/2022,12.8852459,49.98360656,46.04918033,26.1147541,3.836065574,8.704918033,Muzaffarpur
69,1/31/2022,16.36065574,52.95081967,33.73770492,39.0,5.68852459,9.885245902,Nalanda
70,1/31/2022,8.37704918,81.06557377,70.50819672,45.26229508,1.344262295,10.29508197,Nawada
71,1/31/2022,25.59016393,125.5409836,0.114754098,31.93442623,9.819672131,11.68852459,Pashchim Champaran
72,1/31/2022,0.032786885,59.39344262,-11.44262295,20.09836066,-2.737704918,7.983606557,Patna
73,1/31/2022,19.16393443,63.55737705,34.72131148,15.04918033,13.7704918,9.475409836,Purnia
74,1/31/2022,9.836065574,68.45901639,30.39344262,31.63934426,6.147540984,10.04918033,Purvi Champaran
75,1/31/2022,17.73770492,37.60655738,-0.704918033,33.03278689,3.590163934,11.04918033,Rohtas
76,1/31/2022,12.50819672,39.27868852,54.29508197,52.98360656,7.93442623,8.868852459,Saharsa
77,1/31/2022,25.52459016,46.45901639,76.55737705,43.44262295,6.62295082,6.245901639,Samastipur
78,1/31/2022,21.75409836,68.16393443,65.54098361,35.67213115,0.885245902,7.37704918,Saran
79,1/31/2022,-13.45901639,118.7540984,11.0,74.55737705,15.86885246,10.16393443,Sheikhpura
80,1/31/2022,-16.5,81.2,,55.68852459,-3.081967213,6.393442623,Sheohar
81,1/31/2022,18.98360656,52.03278689,87.81967213,32.21311475,5.245901639,7.081967213,Siwan
82,1/31/2022,26.73770492,82.06557377,50.04918033,27.0,-7.31147541,9.508196721,Supaul
83,1/31/2022,20.96721311,49.29508197,59.52459016,43.45901639,7.868852459,6.508196721,Vaishali
84,1/31/2022,15.09836066,11.50819672,60.44262295,26.08196721,7.344262295,9.049180328,Balod
85,1/31/2022,-1.803278689,44.81967213,21.59016393,2.836065574,-0.016393443,9.573770492,Baloda Bazar
86,1/31/2022,-9.967213115,34.81666667,1.442622951,26.06557377,-11.72131148,8.196721311,Balrampur
87,1/31/2022,6.475409836,17.49180328,-23.98360656,73.29508197,-11.09836066,12.1147541,Bastar
88,1/31/2022,11.57377049,38.32786885,17.86885246,-41.0,-10.54098361,7.803278689,Bemetara
89,1/31/2022,,,-13.36065574,,-5.213114754,-4.472222222,Bijapur
90,1/31/2022,1.524590164,55.57377049,3.213114754,11.13114754,10.8852459,10.63934426,Bilaspur
91,1/31/2022,3.540983607,,72.09090909,-7.229508197,-4.852459016,1.803278689,Dantewada
92,1/31/2022,13.16393443,18.96721311,18.21311475,38.1147541,-4.245901639,9.262295082,Dhamtari
93,1/31/2022,0.032786885,41.37704918,18.70491803,-12.29508197,-1.950819672,9.344262295,Durg
94,1/31/2022,-13.0,9.5,,,-16.40983607,7.708333333,Gariaband
95,1/31/2022,-1.540983607,60.24590164,53.54098361,-0.262295082,-3.540983607,8.344262295,Janjgir-Champa
96,1/31/2022,-5.983606557,43.60526316,-7.557377049,22.36065574,8.918032787,8.704918033,Jashpur
97,1/31/2022,-0.524590164,-8.116666667,35.14754098,-6.655737705,1.786885246,3.590163934,Kanker
98,1/31/2022,14.63934426,50.84615385,-18.96721311,-27.62295082,-4.672131148,10.08196721,Kawardha
99,1/31/2022,-5.245901639,,-6.426229508,40.44262295,-7.295081967,8.770491803,Kondagaon
100,1/31/2022,5.93442623,35.73770492,12.83606557,13.1147541,7.442622951,9.819672131,Korba
101,1/31/2022,-1.163934426,33.59016393,39.93442623,10.03278689,-9.262295082,7.606557377,Koriya
102,1/31/2022,-8.606557377,58.90163934,31.29508197,17.47540984,-4.229508197,7.721311475,Mahasamund
103,1/31/2022,-12.72131148,-31.03278689,,59.09836066,-1.016393443,10.3442623,Mungeli
104,1/31/2022,,,,61.96721311,-11.49180328,,Narayanpur
105,1/31/2022,-3.950819672,39.91803279,28.1147541,5.081967213,3.540983607,9.868852459,Raigarh
106,1/31/2022,-12.6557377,44.06557377,33.75409836,-6.327868852,-0.885245902,8.786885246,Raipur
107,1/31/2022,-7.770491803,68.03278689,59.55737705,6.672131148,-4.704918033,10.13114754,Rajnandgaon
108,1/31/2022,,,-25.54545455,17.2295082,-20.0,-6.6,Sukma
109,1/31/2022,-3.540983607,31.06451613,22.08196721,56.68852459,3.983606557,10.45901639,Surajpur
110,1/31/2022,12.18032787,64.3442623,41.01639344,48.03278689,9.737704918,9.245901639,Surguja
111,1/31/2022,-9.426229508,65.40983607,-10.7704918,-0.721311475,6.639344262,8.344262295,Dadra and Nagar Haveli
112,1/31/2022,-9.37704918,46.52459016,32.29508197,4.885245902,-0.491803279,8.508196721,Daman
113,1/31/2022,-25.28571429,,53.19672131,18.21311475,-20.06557377,,Diu
114,1/31/2022,-25.45901639,5.983606557,-28.3442623,-8.770491803,-20.03278689,7.049180328,Central Delhi
115,1/31/2022,-12.60655738,28.75409836,-28.37704918,-17.06557377,-25.96721311,6.868852459,East Delhi
116,1/31/2022,-31.63934426,-12.3442623,-40.16393443,-21.03278689,-23.14754098,7.032786885,New Delhi
117,1/31/2022,-16.72131148,48.44262295,-7.213114754,-0.967213115,-17.57377049,7.344262295,North Delhi
118,1/31/2022,2.721311475,67.0,-42.14754098,25.8852459,-11.81967213,6.852459016,North East Delhi
119,1/31/2022,-17.68852459,24.39344262,-13.42622951,-4.0,-17.01639344,7.295081967,North West Delhi
120,1/31/2022,-5.37704918,24.83606557,-29.49180328,-0.213114754,-15.8852459,6.754098361,Shahdara
121,1/31/2022,-25.27868852,17.24590164,-26.45901639,-2.245901639,-22.08196721,7.508196721,South Delhi
122,1/31/2022,-12.55737705,7.491803279,-27.26229508,-12.85245902,-21.80327869,7.06557377,South East Delhi
123,1/31/2022,-14.13114754,24.13114754,-25.50819672,-6.262295082,-18.54098361,8.573770492,South West Delhi
124,1/31/2022,-18.2295082,17.78688525,-27.16393443,-2.704918033,-18.78688525,7.098360656,West Delhi
125,1/31/2022,-11.29508197,33.36065574,-8.573770492,5.573770492,-10.47540984,10.68852459,North Goa
126,1/31/2022,-0.524590164,19.0,-21.40983607,-2.393442623,-2.016393443,8.803278689,South Goa
127,1/31/2022,-18.32786885,19.59016393,-27.72131148,3.426229508,-12.8852459,6.852459016,Ahmedabad
