,Districts,Mean Cases
278,Thrissur,81162
279,Anjaw,204
280,Upper Subansiri,441
281,Subarnapur,4733
282,Bhojpur,5060
283,Bastar,7838
284,Fatehabad,4701
285,Uttar Bastar Kanker,6247
286,Pilibhit,4178
287,South West Garo Hills,198
288,Hnahthial,19
289,Ballari,39038
290,Pune,381248
291,Begusarai,7951
292,Bhiwani,6299
293,Nuh,1698
294,Anuppur,2067
295,Bathinda,9314
296,Karur,5315
297,Namakkal,11445
298,Shajapur,1757
299,Surendranagar,3499
300,Viluppuram,15108
301,Surajpur,6095
302,Kurukshetra,8748
303,Alipurduar,7673
304,Dimapur,6445
305,Erode,14068
306,Korba,16477
307,Evacuees,61
308,Shivamogga,22217
309,Cuttack,28896
310,Samastipur,5256
311,Bahraich,4096
312,Darbhanga,4172
313,Janjgir Champa,19411
314,Surat,51216
315,Thane,263447
316,Datia,1873
317,Ludhiana,25277
318,Budgam,7702
319,Firozabad,3850
320,Maharajganj,5790
321,Mainpuri,3783
322,Sitapur,4796
323,Chamoli,3434
324,Rajnandgaon,19250
325,Haveri,10985
326,Sheikhpura,2989
327,Foreign Evacuees,434
328,Bhadrak,7450
329,Narmada,2020
330,Dhanbad,7640
331,Sikar,9023
332,Balrampur,2850
333,East Godavari,124029
334,Kaithal,3824
335,Panipat,10659
336,Hingoli,4318
337,Darjeeling,18115
338,Jhajjar,5848
339,Rewa,4028
340,Godda,2093
341,Gonda,5044
342,Bagalkote,13730
343,Basti,5121
344,Mahoba,1469
345,Upper Siang,360
346,Chandrapur,23808
347,West Singhbhum,4810
348,Kondagaon,5113
349,Palakkad,51554
350,Kishtwar,2728
351,Jamtara,1261
352,Katihar,7207
353,Dindori,969
354,Fazilka,3882
355,Khordha,52908
356,East Siang,1139
357,Italians,2
358,Jabalpur,15960
359,Arwal,2375
360,Araria,7207
361,Baran,2582
362,Ganganagar,6683
363,Kinnaur,1335
364,Sri Muktsar Sahib,3843
365,Katni,2211
366,Puducherry,30753
