,Districts,Mean Cases
595,Kanpur Nagar,81695
596,West Godavari,146683
597,Parbhani,49662
598,Gopalganj,15467
599,Sheohar,4104
600,Koderma,12289
601,Madhepura,11761
602,Faridabad,97026
603,Bikaner,38755
604,Rupnagar,12034
605,Sehore,9757
606,West Siang,1234
607,Thiruvananthapuram,265641
608,Krishnagiri,33794
609,East Khasi Hills,22942
610,Lakshadweep,9315
611,Lohardaga,6330
612,Niwari,3578
613,Hoshiarpur,28465
614,Dindigul,27715
615,Khargone,13553
616,Auraiya,9822
617,Buxar,8970
618,Thiruvarur,31106
619,Jhunjhunu,13511
620,Jaisalmer,12313
621,S.A.S. Nagar,65115
622,Banaskantha,12978
623,Tarn Taran,7469
624,Umaria,6020
625,Tenkasi,22877
626,Gorakhpur,57146
627,Dumka,4511
628,Tuensang,649
629,Meerut,66614
630,Palwal,9879
631,Ferozepur,12690
632,Sambhal,9154
633,Gaya,32790
634,Kangra,41467
635,Bidar,23452
636,Barwani,8219
637,Other State,457
638,Ariyalur,12309
639,Dang,831
640,Kancheepuram,63231
