,Districts,Mean Cases
278,Thrissur,104075
279,Anjaw,204
280,Upper Subansiri,442
281,Subarnapur,4864
282,Bhojpur,5469
283,Bastar,9909
284,Fatehabad,5388
285,Uttar Bastar Kanker,7819
286,Pilibhit,4385
287,South West Garo Hills,200
288,Hnahthial,21
289,Ballari,40558
290,Pune,518516
291,Begusarai,8935
292,Bhiwani,6753
293,Nuh,1776
294,Anuppur,2544
295,Bathinda,11606
296,Karur,5767
297,Namakkal,12336
298,Shajapur,2402
299,Surendranagar,3857
300,Viluppuram,15707
301,Surajpur,7826
302,Kurukshetra,10855
303,Alipurduar,7776
304,Dimapur,6568
305,Erode,15606
306,Korba,20034
307,Evacuees,61
308,Shivamogga,23055
309,Cuttack,29870
310,Samastipur,5795
311,Bahraich,4612
312,Darbhanga,4488
313,Janjgir Champa,22877
314,Surat,65690
315,Thane,337027
316,Datia,2253
317,Ludhiana,33114
318,Budgam,8296
319,Firozabad,4290
320,Maharajganj,6067
321,Mainpuri,4171
322,Sitapur,5383
323,Chamoli,3606
324,Rajnandgaon,25240
325,Haveri,11156
326,Sheikhpura,3156
327,Foreign Evacuees,434
328,Bhadrak,7657
329,Narmada,2498
330,Dhanbad,8367
331,Sikar,9810
332,Balrampur,2958
333,East Godavari,126368
334,Kaithal,4630
335,Panipat,12122
336,Hingoli,6805
337,Darjeeling,19031
338,Jhajjar,6426
339,Rewa,4972
340,Godda,2334
341,Gonda,5599
342,Bagalkote,14143
343,Basti,5751
344,Mahoba,1637
345,Upper Siang,361
346,Chandrapur,31040
347,West Singhbhum,5156
348,Kondagaon,5626
349,Palakkad,62482
350,Kishtwar,2764
351,Jamtara,1528
352,Katihar,7545
353,Dindori,1303
354,Fazilka,4516
355,Khordha,55076
356,East Siang,1150
357,Italians,2
358,Jabalpur,19972
359,Arwal,2675
360,Araria,7502
361,Baran,3189
362,Ganganagar,7131
363,Kinnaur,1424
364,Sri Muktsar Sahib,4542
365,Katni,3033
366,Puducherry,33417
367,Chikkamagaluru,14474
368,Panchmahal,4815
369,Balasore,12698
370,Purulia,7953
371,Rohtak,12900
372,Ujjain,6427
373,Bengaluru Urban,455406
374,Tiruppur,19653
375,Doda,3477
376,Mungeli,5286
377,Bharuch,4763
378,Anantnag,5250
379,Boudh,2860
380,Sivaganga,7069
381,Surguja,10190
382,Davanagere,22855
383,Rampur,5849
384,Neemuch,3510
385,Pauri Garhwal,5540
386,Kolkata,137750
387,Gondia,17827
388,Dungarpur,6473
389,Jhansi,12370
390,Jashpur,5645
391,Valsad,1680
392,Ernakulam,131678
393,Hanumangarh,3463
394,Jehanabad,5171
395,West Kameng,963
396,Sirohi,4570
397,Uttarkashi,3912
398,Gautam Buddha Nagar,27330
399,Theni,17490
400,Kannur,59139
401,Muzaffarpur,12992
402,Pakur,1002
403,Shahjahanpur,7538
404,Bageshwar,1603
405,Indore,69803
406,Hapur,4742
407,South Garo Hills,198
408,Ambala,13861
409,Bundi,3338
410,Jalandhar,27438
411,Aligarh,11896
412,Barnala,2623
413,Patiala,21056
414,Changlang,1286
415,Saiha,38
416,Nanded,39241
417,Aizawl,3023
418,Balangir,9286
419,Srikakulam,48537
420,Bijapur,4196
421,Koraput,7989
422,Ramanathapuram,6679
423,Chhota Udaipur,1095
424,Kulgam,2916
425,Solapur,67417
426,Jamnagar,12320
427,Ranchi,38737
428,Madurai,22486
429,Harda,2364
430,Barabanki,8774
431,Raichur,14935
432,Phek,49
433,Durg,40470
434,Champawat,1948
