,Districts,Mean Cases
0,Nayagarh,23221.391304347828
1,Dharmapuri,27285.347826086956
2,Dakshin Bastar Dantewada,10794.641304347826
3,Paschim Bardhaman,56959.467391304344
4,Sultanpur,14913.021739130434
5,Vellore,49079.184782608696
6,Sawai Madhopur,10612.760869565218
7,Malda,33002.358695652176
8,Puri,44730.97826086957
9,Shi Yomi,236.70652173913044
10,Lunglei,5953.782608695652
11,Shimla,26843.706521739132
12,Shivpuri,12394.565217391304
13,Sonipat,47132.315217391304
14,Kanpur Dehat,6194.695652173913
15,Kaushambi,4419.673913043478
16,Bokaro,19428.608695652172
17,Lakhimpur Kheri,24406.815217391304
18,Churachandpur,0.0
19,Dehradun,112138.47826086957
20,Saran,23270.967391304348
21,Railway Quarantine,428.0
22,Kasaragod,127755.39130434782
23,Kohima,9156.630434782608
24,Bankura,35456.065217391304
25,Namsai,2036.0434782608695
26,Howrah,96352.64130434782
27,Kolar,46465.391304347824
28,Dhalai,6975.29347826087
29,Hathras,2919.2608695652175
30,Mahisagar,8193.347826086956
31,Pathankot,18701.456521739132
32,Aurangabad,73687.76086956522
33,Chittorgarh,19809.0
34,Ganderbal,10206.58695652174
35,Karaikal,15786.54347826087
36,Kargil,3599.771739130435
37,Shamli,12975.065217391304
38,Yadgir,27527.858695652172
39,Kalaburagi,61827.184782608696
40,Giridih,8962.478260869566
41,Narayanpur,4013.108695652174
42,Virudhunagar,45911.641304347824
43,Morena,8236.0
44,Raisen,9236.576086956522
45,Dewas,7723.0
46,Bulandshahr,20208.880434782608
47,Koriya,26952.315217391304
48,Dhenkanal,19611.315217391304
49,Lucknow,238731.46739130435
50,Kabeerdham,22769.304347826088
51,Moradabad,39098.27173913043
52,Tirap,1054.858695652174
53,Jagatsinghpur,27027.25
54,Wardha,57758.17391304348
55,Deoghar,10820.630434782608
56,Patan,11623.978260869566
57,Pulwama,15386.619565217392
58,Srinagar,73381.5
59,State Pool,29444.369565217392
60,Lepa Rada,841.4347826086956
61,Visakhapatnam,155651.47826086957
62,Nilgiris,32233.641304347828
63,Airport Quarantine,2105.6521739130435
64,Samba,7140.663043478261
65,Kurung Kumey,509.60869565217394
66,Akola,58718.739130434784
67,Jalgaon,139862.26086956522
68,Diu,1218.0
69,Chandauli,16204.260869565218
70,Kolhapur,204152.9347826087
71,Mahe,5440.934782608696
72,Bhadohi,7718.358695652174
73,Fatehpur,6808.869565217391
74,Bilaspur,32013.467391304348
75,Koppal,35163.836956521736
76,Unokoti,8476.95652173913
77,Idukki,120837.73913043478
78,Gariaband,19687.967391304348
79,Garhwa,6887.152173913043
80,Charkhi Dadri,5072.271739130435
81,Saitual,301.45652173913044
82,Ajmer,37738.989130434784
83,Moga,8649.239130434782
84,Krishna,115315.08695652174
85,Nashik,406893.72826086957
86,Sirmaur,15434.41304347826
87,Jaipur,187707.19565217392
88,Khowai,4521.70652173913
89,Satna,11964.978260869566
90,Sagar,16603.347826086956
91,Sahibganj,4828.554347826087
92,Ballia,21608.532608695652
93,Dausa,13350.945652173914
94,Kurnool,123866.51086956522
95,Kullu,9515.021739130434
96,Hardoi,13754.369565217392
97,Jind,21204.641304347828
98,Thanjavur,72087.77173913043
99,Chitrakoot,7108.304347826087
100,Ratnagiri,76527.67391304347
101,Mayurbhanj,39893.358695652176
102,West Jaintia Hills,6294.5
103,Ramgarh,13907.619565217392
104,Saharanpur,32730.130434782608
105,Gadag,26042.260869565216
106,Agra,25749.82608695652
107,Tikamgarh,6862.869565217391
108,Betul,12902.119565217392
109,Ramban,6009.217391304348
110,Madhubani,18349.07608695652
111,Chandigarh,64479.02173913043
112,Deogarh,6400.630434782609
113,Cuddalore,62718.97826086957
114,Bandipora,9677.54347826087
115,Y.S.R. Kadapa,113630.20652173914
116,Farrukhabad,10344.391304347826
117,Bhagalpur,25833.043478260868
118,Kolasib,5959.336956521739
119,Barmer,15556.402173913044
120,East Champaran,19009.021739130436
