District,01-08-2021,02-08-2021,03-08-2021,04-08-2021,05-08-2021,06-08-2021,07-08-2021,08-08-2021,09-08-2021,10-08-2021,11-08-2021,12-08-2021,13-08-2021,14-08-2021,15-08-2021,16-08-2021,17-08-2021,18-08-2021,19-08-2021,20-08-2021,21-08-2021,22-08-2021,23-08-2021,24-08-2021,25-08-2021,26-08-2021,27-08-2021,28-08-2021,29-08-2021,30-08-2021,31-08-2021,01-09-2021,02-09-2021,03-09-2021,04-09-2021,05-09-2021,06-09-2021,07-09-2021,08-09-2021,09-09-2021,10-09-2021,11-09-2021,12-09-2021,13-09-2021,14-09-2021,15-09-2021,16-09-2021,17-09-2021,18-09-2021,19-09-2021,20-09-2021,21-09-2021,22-09-2021,23-09-2021,24-09-2021,25-09-2021,26-09-2021,27-09-2021,28-09-2021,29-09-2021,30-09-2021,01-10-2021,02-10-2021,03-10-2021,04-10-2021,05-10-2021,06-10-2021,07-10-2021,08-10-2021,09-10-2021,10-10-2021,11-10-2021,12-10-2021,13-10-2021,14-10-2021,15-10-2021,16-10-2021,17-10-2021,18-10-2021,19-10-2021,20-10-2021,21-10-2021,22-10-2021,23-10-2021,24-10-2021,25-10-2021,26-10-2021,27-10-2021,28-10-2021,29-10-2021,30-10-2021,31-10-2021,Mean Vaccination
Junagadh,602019,611265,618611,618637,635763,653527,670810,682226,698865,715686,722999,744608,757228,775168,780179,798685,809357,822053,825364,832331,842023,842130,855738,868327,876852,886540,893849,896762,896868,896896,913432,926141,945977,957693,969244,983434,1003072,1018989,1041467,1064866,1081719,1086878,1089186,1089869,1098553,1110610,1120414,1182061,1182596,1182626,1182839,1187213,1204563,1204648,1216663,1229892,1229952,1247125,1249344,1249367,1261366,1262571,1262581,1262592,1288664,1315038,1323476,1364116,1377806,1409375,1440859,1454440,1468034,1484642,1498139,1499045,1516966,1517670,1532445,1532897,1541111,1551910,1559631,1567919,1570494,1578948,1591809,1601627,1612179,1627611,1638300,1639489,1125386.0
Junagadh,223222,226285,228990,228990,231992,234792,236324,238176,241360,243790,245394,247529,251263,255667,259082,261679,263851,266597,269572,272283,274709,274709,276891,278971,280926,282679,284427,286207,286207,286207,289393,292976,296660,300348,300803,302348,304481,306152,307823,309716,311770,312575,312859,312923,314448,317258,318472,332957,334745,335245,338167,338441,344828,345919,347698,349703,350129,351475,354670,357125,360537,362234,362374,362374,365553,368462,370780,375858,379385,383842,391108,394187,394943,395633,396467,396467,397835,398126,399130,399681,400442,401971,403471,404649,404819,405776,406662,407428,408208,409051,409910,410015,325633.0
Kheda,961376,969484,978329,978984,994150,1009987,1025704,1038475,1056411,1070532,1082883,1110205,1133216,1156739,1177454,1200714,1222827,1244125,1257975,1269255,1282234,1282354,1296127,1311374,1323826,1340890,1358705,1372017,1372509,1372509,1402539,1431536,1458248,1473335,1484439,1511300,1537658,1563682,1586305,1610313,1633830,1653741,1660892,1662146,1672625,1682965,1691726,1778612,1782448,1783860,1787385,1789524,1813179,1816120,1831479,1842167,1842936,1855163,1856755,1865807,1883556,1890863,1898955,1899444,1923271,1943553,1953997,1982039,2007125,2032127,2080894,2094628,2107864,2125454,2140291,2145260,2158231,2167667,2187542,2194499,2212799,2233299,2246596,2260734,2262580,2269714,2289085,2298771,2315583,2327831,2345857,2348086,1672199.0
Kutch,1007613,1023468,1032241,1033001,1053440,1075078,1094814,1100293,1118143,1133164,1145750,1166075,1185025,1205418,1214609,1235473,1250176,1263986,1274322,1283000,1296977,1297176,1311653,1325892,1336918,1359312,1380547,1389272,1389907,1390008,1434934,1454993,1475672,1494900,1509521,1521270,1542767,1562244,1578094,1596454,1611301,1623814,1629910,1639009,1649192,1661527,1670698,1741110,1750691,1759723,1773847,1787083,1800092,1803181,1816466,1826263,1828329,1844648,1849827,1851084,1863966,1870722,1873077,1873585,1893801,1910226,1918874,1928228,1936977,1943674,1970155,1971558,1980583,1984872,1991022,1991095,1991808,1991879,2004190,2004579,2013181,2019799,2027366,2034247,2034573,2043104,2051822,2059765,2070567,2081658,2092789,2093155,1630199.0
Mahisagar,569133,573777,578832,578840,586074,593573,602140,610483,618641,626910,634791,643668,651988,663214,669792,678352,686038,694194,698414,704548,715063,715160,726075,737272,743809,754106,764885,772693,773033,773033,795930,812563,826135,836733,843685,853286,865191,875093,886999,897820,908541,914497,918132,920525,925986,931768,936706,1001241,1009024,1014516,1022058,1023255,1034642,1040939,1056216,1069920,1072302,1084828,1088204,1092745,1101014,1101733,1101751,1101787,1116525,1126770,1132203,1145605,1162951,1180159,1213349,1225258,1229999,1231930,1238739,1239769,1244689,1245889,1249319,1249625,1250973,1253001,1255340,1258022,1258535,1260279,1262446,1263992,1267246,1270980,1274184,1275114,950948.0
Mehsana,1179650,1187606,1196661,1196721,1211513,1226462,1240300,1252452,1265566,1278459,1285057,1301652,1315561,1327077,1331941,1343892,1354934,1361473,1369590,1376427,1388876,1388981,1401215,1413868,1419651,1432402,1451336,1464518,1464882,1464882,1494503,1521655,1545981,1561578,1564064,1584080,1607411,1626116,1648452,1668125,1685311,1695309,1700910,1707104,1718843,1731344,1731624,1830835,1838398,1848035,1857247,1861817,1878856,1883499,1896180,1908733,1910516,1924750,1931949,1943723,1959166,1962067,1962623,1962665,1982383,2001235,2012157,2028792,2052332,2070512,2105308,2116607,2127501,2136177,2149238,2150261,2161882,2163253,2173506,2174828,2181735,2194620,2208316,2218592,2219682,2231582,2242875,2250306,2258369,2266548,2274961,2275755,1744309.0
Morbi,436063,441445,446925,446996,458010,468983,478946,485526,494176,502366,506687,519246,527057,536221,540087,548182,554206,559430,563483,568036,573129,573140,579512,585664,590206,595422,600075,603856,603868,603872,611878,619107,628239,638097,648095,653468,660872,667118,674935,682701,690068,694289,695278,696968,703017,710016,710581,753359,753751,756749,760810,763264,770599,772030,778975,784667,785067,793228,794587,794625,803227,804758,804806,804824,821732,832091,838285,847044,855290,864289,883718,886810,893156,896760,913002,913961,918714,919055,924193,924659,927593,943402,948426,952355,952593,956487,959757,962875,976298,979838,982691,982840,720791.0
Narmada,334104,337426,341187,341298,349019,357282,364711,371273,377463,383413,389220,396327,403699,411194,416509,423643,429128,432660,437362,441052,445765,445833,451090,456122,458659,464025,470110,476283,476415,476415,486490,493910,500594,505384,508545,512267,517607,522646,526723,531607,536087,540596,543214,544276,549277,553956,558403,585129,586085,588028,592383,596542,600301,605101,609530,613135,615325,618740,621321,625257,628368,630723,633181,634410,637588,640176,642211,645270,647401,649549,654637,657664,661467,662855,665593,665631,668539,668597,671919,672017,674015,675735,677417,678499,678508,680015,682739,684594,687414,689645,692930,692944,547602.0
Navsari,749187,756267,759042,759059,769757,780949,791452,800949,813575,821260,827264,840074,853234,865019,876604,891216,902650,915415,916880,923087,931545,931590,943691,954539,968091,981879,994145,1004551,1004763,1004794,1024836,1043798,1059488,1072659,1084545,1095807,1114354,1128069,1141474,1153320,1163656,1177021,1185064,1190831,1199196,1207282,1210652,1292462,1295247,1295993,1303756,1310336,1319575,1326699,1339730,1346109,1346961,1356214,1361790,1370968,1386734,1396159,1402231,1402836,1418024,1429507,1438403,1447456,1455443,1465216,1501292,1509114,1514921,1518037,1525593,1526454,1533295,1535610,1542885,1545666,1549503,1554381,1559690,1563787,1565210,1569942,1573264,1576177,1581468,1587577,1594086,1596157,1208875.0
Panchmahal,750186,758221,765936,765940,777897,792749,807167,820495,833529,843017,856797,871567,886916,902471,916232,931045,942236,956732,960944,969456,979825,979890,998192,1010469,1024007,1039726,1055693,1067158,1067186,1067186,1097553,1125912,1143137,1156710,1162986,1179413,1198900,1216851,1233334,1250609,1267047,1274069,1278476,1280940,1292645,1304204,1307571,1380978,1388813,1396124,1403704,1411535,1420854,1428514,1441167,1448809,1453595,1462704,1469455,1477257,1487283,1493596,1496624,1498773,1516664,1529828,1537285,1547196,1561173,1567921,1609111,1616231,1622574,1626408,1633334,1637037,1644345,1645449,1650917,1652718,1657205,1662203,1670543,1678138,1678987,1688495,1699911,1704735,1712513,1721000,1729787,1731113,1289802.0
Patan,638738,646347,655200,655539,664727,673948,681833,685832,697329,707131,715343,730142,742161,752794,760146,771186,781329,789336,800039,807359,813610,813912,824060,832996,840783,851359,860478,867812,868382,868382,883419,897722,909567,921506,928196,936799,949318,961357,971770,983153,995848,1003817,1006980,1009218,1019814,1032263,1042513,1093835,1100069,1105666,1124279,1136721,1147403,1152475,1162013,1170489,1173047,1181316,1185133,1190488,1199700,1204740,1208184,1209096,1220592,1229969,1235847,1244594,1254159,1261843,1280225,1284721,1291208,1294756,1300995,1301514,1307911,1308510,1314796,1317925,1324260,1330729,1337289,1342135,1342786,1348489,1356537,1361714,1368966,1376903,1383621,1383900,1040250.0
Porbandar,382789,385631,388975,388975,395393,402089,408268,413159,419309,425409,431140,437496,443646,449364,454483,460137,465349,470010,472802,476247,479658,479660,483336,487183,489517,492485,495172,497243,497243,497243,501627,504324,507810,511478,514830,516645,518956,521648,524207,527196,529929,532619,533582,534019,537284,540897,544750,569476,570440,572750,576630,580845,584231,588474,594384,598519,601179,605987,611849,614711,618874,622306,624709,625580,628159,630426,631897,634348,636408,638545,642493,644153,645906,647121,648582,648799,650618,651436,653256,653980,655438,657163,658879,660539,661538,663109,665184,666989,669235,672031,674631,675741,552160.0
Rajkot,869051,882417,886695,886695,904815,921876,937844,945696,961596,974897,984344,1001588,1014371,1027208,1031973,1041311,1049871,1057724,1062765,1070599,1079294,1079296,1089282,1101793,1107304,1119047,1128235,1131698,1131698,1131698,1141583,1151024,1170538,1186536,1196043,1206028,1218610,1226275,1239109,1251892,1261798,1268750,1270674,1271611,1281524,1292093,1299845,1365104,1366576,1370760,1376090,1377651,1392931,1393992,1404096,1416121,1416651,1429463,1432959,1433454,1442782,1443670,1444270,1444285,1464785,1483057,1493633,1507544,1519215,1528698,1550537,1555469,1563584,1569388,1577396,1577637,1584661,1585675,1592843,1593635,1600456,1608319,1615411,1620361,1620752,1626511,1637351,1641874,1647360,1653542,1659404,1659597,1302567.0
