District,01-08-2021,02-08-2021,03-08-2021,04-08-2021,05-08-2021,06-08-2021,07-08-2021,08-08-2021,09-08-2021,10-08-2021,11-08-2021,12-08-2021,13-08-2021,14-08-2021,15-08-2021,16-08-2021,17-08-2021,18-08-2021,19-08-2021,20-08-2021,21-08-2021,22-08-2021,23-08-2021,24-08-2021,25-08-2021,26-08-2021,27-08-2021,28-08-2021,29-08-2021,30-08-2021,31-08-2021,01-09-2021,02-09-2021,03-09-2021,04-09-2021,05-09-2021,06-09-2021,07-09-2021,08-09-2021,09-09-2021,10-09-2021,11-09-2021,12-09-2021,13-09-2021,14-09-2021,15-09-2021,16-09-2021,17-09-2021,18-09-2021,19-09-2021,20-09-2021,21-09-2021,22-09-2021,23-09-2021,24-09-2021,25-09-2021,26-09-2021,27-09-2021,28-09-2021,29-09-2021,30-09-2021,01-10-2021,02-10-2021,03-10-2021,04-10-2021,05-10-2021,06-10-2021,07-10-2021,08-10-2021,09-10-2021,10-10-2021,11-10-2021,12-10-2021,13-10-2021,14-10-2021,15-10-2021,16-10-2021,17-10-2021,18-10-2021,19-10-2021,20-10-2021,21-10-2021,22-10-2021,23-10-2021,24-10-2021,25-10-2021,26-10-2021,27-10-2021,28-10-2021,29-10-2021,30-10-2021,31-10-2021,Mean Vaccination
Nicobars,29592,29652,29704,29788,29823,29838,29915,29915,29941,29948,29970,30043,30111,30191,30191,30234,30301,30328,30336,30342,30359,30367,30413,30435,30447,30471,30513,30513,30513,30531,30541,30560,30572,30572,30619,30619,30676,30763,30860,31048,31286,31469,31663,31878,32352,32887,33504,36972,37266,37300,37879,38385,38728,38966,39177,39311,39311,39637,39704,40218,40264,40314,40314,40314,40383,40425,40644,41053,41580,42011,42026,42318,42527,42665,42788,42859,43162,43162,43479,43951,43951,44216,44585,44815,44834,45121,45292,45412,45469,45660,45707,45707,36048.0
North and Middle Andaman,91462,91613,91726,91806,91916,91951,91974,91974,92044,92092,92141,93680,95495,97324,97328,97967,98252,98748,98757,98847,99368,99353,100465,101304,102005,102418,102624,103547,103572,104003,104433,104841,105457,105884,106485,106515,107127,107752,108105,108875,109311,109653,110213,110774,111575,112248,112783,114831,115055,115995,116786,118253,119795,120299,120638,120973,120976,121248,121439,121584,121678,121817,121820,121820,123258,124308,125365,126100,126444,126800,126803,127069,128054,128280,129154,129179,130490,130494,131516,132258,132310,134298,135573,136474,136538,137162,137591,137817,138090,138274,138459,138467,113798.0
South Andaman,180313,181461,182712,184135,185275,186388,187381,187460,188658,189947,192699,196015,199217,202481,202715,204181,205619,206840,206925,208648,208922,209084,212041,214952,218109,220376,222486,224952,225225,226247,228279,229879,231156,232137,233242,233298,234480,235807,237459,239280,240470,242259,243889,245575,248186,252560,255377,260336,262631,264347,266948,269505,271457,273118,274570,276254,276344,277614,278665,279778,281000,282111,282160,282213,283648,285034,286375,287306,288226,289197,289327,290338,291265,291821,292496,292535,293463,293472,295076,296417,296501,298029,299400,301038,301240,302822,304646,306080,307510,308690,309953,309984,250823.0
Anantapur,1647681,1692187,1706479,1716102,1723209,1781613,1797241,1804063,1814089,1855968,1867371,1870378,1951617,1961720,1995106,2036230,2074608,2090271,2098261,2099737,2119761,2120076,2136040,2158647,2172758,2221481,2235413,2306772,2320685,2322752,2423246,2471041,2478020,2479516,2480130,2480135,2577065,2579532,2580388,2580584,2580584,2671425,2807458,2866711,2874755,2875777,2876270,2910641,2948347,2948827,2970569,2974374,2978259,3034068,3039062,3041151,3041196,3124044,3131256,3228972,3241579,3286154,3312017,3327308,3378264,3425788,3447049,3457973,3506997,3595300,3614984,3631932,3640445,3718723,3749086,3749616,3772968,3775783,3844275,3873202,3910214,4009586,4042080,4062604,4067852,4105914,4142879,4175790,4216470,4258089,4291613,4301558,2877020.0
Chittoor,1864605,1935556,1949340,1976744,1987553,2061106,2077173,2078059,2100961,2104129,2105139,2105319,2184992,2206455,2206669,2234042,2267989,2300056,2352997,2354623,2392337,2393425,2410706,2424772,2426971,2505155,2522937,2591337,2593742,2655774,2763954,2774228,2777486,2777744,2794962,2795264,2877278,2884860,2885419,2885573,2885601,2980532,3175569,3182963,3184037,3184172,3281416,3418778,3425114,3425336,3534106,3550509,3553583,3573861,3576900,3579812,3580013,3635300,3635663,3690132,3696188,3697814,3784755,3787643,3799046,3802750,3803143,3804345,3859930,3863174,3863669,3880220,4006338,4040424,4074030,4082820,4140154,4141080,4215902,4229462,4240167,4366309,4396455,4439806,4457495,4491568,4517822,4539298,4573252,4609235,4638676,4640860,3218746.0
East Godavari,2201329,2271769,2292557,2299591,2309700,2407633,2415192,2415377,2419724,2423961,2427338,2428594,2475406,2479963,2480166,2488792,2493631,2499163,2502621,2503488,2530474,2530633,2549749,2620632,2645739,2656752,2683515,2762487,2776710,2857927,2874461,2998162,3003561,3005673,3006838,3006940,3108966,3117350,3119828,3121469,3121566,3157289,3343227,3372039,3376572,3381470,3465275,3563784,3570009,3570520,3664792,3685990,3695237,3721549,3725688,3727232,3727283,3892792,3995716,4123719,4237586,4342758,4376072,4376597,4482326,4516586,4540406,4557061,4631990,4708244,4708792,4756165,4784226,4838308,4877557,4877684,4924800,4925080,4997714,5047199,5083196,5144614,5182700,5222963,5262589,5325296,5371428,5409470,5449317,5489138,5522520,5522798,3636835.0
Guntur,2040111,2083397,2095607,2113984,2129433,2195672,2218144,2218523,2238088,2256626,2274289,2281158,2335104,2350976,2351560,2390059,2412793,2427715,2458850,2465142,2476810,2477105,2486148,2510301,2531524,2548554,2555838,2645319,2649930,2684342,2806302,2820382,2836014,2841269,2852097,2852315,2853060,2938482,2942271,2945927,2945970,3006498,3118314,3136911,3150375,3208886,3219145,3288568,3305619,3306071,3361006,3414384,3428963,3461920,3490530,3504162,3627942,3634218,3637827,3753556,3762331,3849492,3897418,3906836,3937639,3944196,3951125,3966123,4082251,4196955,4206200,4252380,4305391,4337274,4389966,4391205,4429187,4445521,4513250,4546802,4601052,4691529,4740762,4811222,4889696,4970940,5044500,5120386,5202964,5268767,5329524,5331891,3368553.0
Krishna,2067094,2082297,2092285,2120287,2144361,2203716,2222678,2226536,2232954,2250582,2259223,2268862,2290031,2313850,2317445,2340789,2359898,2372696,2383057,2388720,2413976,2414601,2451579,2476400,2486647,2510984,2535283,2621659,2644811,2699581,2838066,2840362,2840902,2841929,2856889,2860291,2928587,2932632,2937775,2942251,2942327,2986279,3167839,3202108,3215139,3218571,3218945,3356206,3381467,3381716,3456929,3492990,3516921,3548864,3562353,3575562,3593163,3626476,3672679,3721849,3733117,3793540,3838018,3850964,3877684,3888059,3895520,3938814,3977247,4034486,4049165,4065097,4116194,4153438,4211899,4221343,4241918,4247909,4308180,4332560,4365550,4465038,4504508,4539434,4580391,4618244,4670333,4728611,4783871,4828378,4886143,4886531,3298730.0
Kurnool,1494383,1523762,1535745,1544446,1552406,1557322,1606032,1624314,1640598,1658568,1666801,1669753,1707964,1735320,1737594,1746440,1765388,1807366,1831102,1833308,1863209,1865309,1881933,1895614,1904216,1905749,1948620,2013003,2045881,2047713,2155113,2171746,2176625,2177899,2178882,2179015,2248747,2263441,2266711,2269506,2269630,2339574,2504628,2543586,2560967,2567409,2569023,2634881,2662279,2663186,2670573,2673966,2696871,2729372,2736746,2739437,2739535,2798479,2821642,2901068,2921829,3032239,3058893,3062706,3137950,3159788,3168564,3172355,3262350,3281314,3284618,3341561,3406334,3425639,3446274,3446570,3446596,3446608,3482695,3538151,3582866,3642481,3688723,3711009,3711439,3754766,3816749,3862644,3900313,3925841,3956924,3963178,2593047.0
Prakasam,1543805,1562972,1573471,1581285,1592376,1609252,1628682,1637859,1655447,1692374,1712532,1718345,1731611,1747703,1753718,1767372,1780227,1790102,1800690,1802187,1810204,1814181,1827529,1852529,1862611,1865597,1877662,1967063,1986559,1990099,2103444,2134924,2142965,2146372,2148328,2149280,2199192,2211183,2216988,2221606,2222869,2271029,2368444,2384288,2386297,2386584,2391914,2495617,2511194,2516271,2574051,2634533,2647639,2648056,2650738,2653861,2669012,2702040,2716939,2768576,2784337,2869802,2895648,2902251,2905496,2906806,2908289,2924335,3028290,3105751,3155722,3185319,3203960,3226582,3274804,3282626,3296842,3301680,3365122,3384022,3410382,3509245,3529702,3556342,3574657,3608113,3665602,3709120,3763394,3805069,3833044,3842208,2505705.0
S.P.S. Nellore,1549610,1556062,1568509,1576712,1603010,1616023,1620550,1630892,1636344,1640637,1643941,1665895,1672521,1686765,1687603,1707975,1715771,1718104,1720792,1723443,1727411,1730291,1734905,1739566,1796514,1827992,1868967,1909259,1936665,1938025,2061758,2061882,2062002,2062391,2087036,2117106,2128802,2130955,2133379,2134216,2134386,2214793,2317077,2317266,2317431,2317588,2317672,2498106,2524266,2533286,2594336,2622302,2634685,2655333,2660284,2663282,2663573,2703792,2749404,2760855,2764129,2799892,2826189,2836589,2844456,2847148,2848382,2886008,2901614,2907605,2909923,2956432,2980844,3011796,3044501,3049059,3057555,3060670,3140957,3148195,3185914,3254642,3293732,3317981,3335276,3366027,3406770,3435553,3483316,3525176,3542279,3546642,2411361.0
Srikakulam,1245363,1276154,1303873,1315659,1322005,1328184,1334658,1334739,1338155,1349502,1356621,1359036,1362527,1365541,1365556,1371811,1373851,1375938,1378888,1378912,1385181,1385191,1401724,1412100,1420431,1441214,1454614,1552643,1552795,1552802,1643515,1645198,1658346,1701540,1712174,1712204,1731970,1746460,1753306,1757058,1757068,1820894,1891371,1974927,2018642,2031776,2032002,2112097,2118952,2118990,2153154,2174238,2189398,2200556,2208626,2216073,2216087,2216894,2222468,2253586,2269728,2279411,2279595,2279644,2290489,2295639,2299288,2303864,2306370,2337873,2337983,2353209,2357875,2357899,2374819,2375040,2383921,2383949,2425886,2426072,2438451,2447431,2452020,2456432,2456524,2482938,2514431,2542826,2569755,2587298,2604974,2604982,1926759.0
Visakhapatnam,2085821,2114394,2127903,2141683,2164296,2271272,2284709,2286558,2297694,2348800,2386614,2391000,2468244,2498733,2507997,2555526,2625023,2662240,2707253,2709212,2751602,2753092,2789212,2804849,2846741,2878305,2890792,2963566,2971576,2994818,3076790,3129854,3177136,3197059,3203121,3203529,3271307,3289675,3307801,3318279,3318551,3370286,3435141,3517574,3576993,3601883,3618779,3685950,3692071,3692765,3767449,3802396,3819739,3831377,3840812,3849066,3849682,3857499,3887068,3925207,3955058,3970614,4051345,4057578,4074062,4079572,4085322,4090848,4153242,4178864,4200775,4250850,4269035,4280441,4331392,4335047,4350839,4353488,4407334,4419387,4443450,4498303,4518181,4573886,4591751,4642747,4686093,4733477,4776936,4822235,4860772,4864392,3503279.0
Vizianagaram,971725,979650,982740,988659,993978,1030189,1048015,1074832,1086973,1100578,1106497,1108605,1132358,1141103,1141601,1148806,1169350,1182745,1193227,1200941,1212735,1213486,1225391,1252429,1261549,1292687,1303068,1358542,1379429,1383059,1431918,1440917,1466066,1483851,1492591,1493663,1499905,1502339,1505083,1507472,1507492,1555506,1620237,1640514,1647545,1649529,1650073,1650620,1650994,1651052,1712526,1747022,1760206,1779289,1786716,1788759,1789238,1805860,1820392,1839712,1863418,1872516,1897035,1903593,1913192,1920332,1924184,1925700,1936380,1960359,1964787,1974062,1980246,2005419,2031603,2033049,2039482,2040241,2075831,2084972,2116690,2134203,2181514,2210461,2221165,2250512,2281103,2307198,2335966,2365867,2387132,2389588,1631194.0
West Godavari,1825010,1850767,1868311,1889337,1909703,1932645,1952645,1955692,1964243,1995195,2000627,2042445,2050962,2074510,2074989,2112624,2130624,2138138,2145803,2164043,2215779,2217964,2224738,2229580,2238547,2252856,2365211,2419192,2438442,2497893,2602372,2611380,2612797,2612924,2640589,2641029,2707771,2716522,2717107,2717925,2728456,2829968,2885903,2888429,2888542,2888624,2888637,3079276,3082057,3083452,3173675,3209076,3214103,3217335,3232722,3236313,3238313,3270702,3299138,3335257,3341532,3393330,3407105,3407778,3412119,3432902,3462022,3490282,3515175,3580334,3587752,3593959,3652498,3700501,3736736,3739592,3753228,3753981,3812429,3825932,3863443,3912178,3968130,4014110,4096541,4142134,4171761,4219644,4254279,4275652,4301362,4304124,2962516.0
Y.S.R. Kadapa,1350673,1369966,1379319,1385771,1390304,1395676,1411500,1411562,1417625,1421328,1425883,1428433,1434150,1438714,1438748,1447030,1451787,1464063,1472351,1472759,1477015,1477019,1497822,1502223,1503104,1554708,1555071,1638958,1641213,1700807,1789885,1800930,1803393,1807735,1809020,1809045,1889303,1891145,1891592,1892307,1892306,1976294,2095788,2156076,2175035,2181214,2181989,2270156,2275673,2275879,2351348,2397873,2398522,2415697,2419062,2420972,2421274,2467434,2471353,2518059,2525297,2526622,2576716,2580914,2597199,2602638,2609306,2612937,2666380,2680660,2681189,2726835,2765156,2778392,2788219,2788576,2820598,2821071,2858394,2872340,2883840,2946640,2977096,2992168,2995942,3025050,3049777,3073866,3100469,3124697,3150637,3152743,2157112.0
Anjaw,12757,12823,12898,12934,12969,13079,13113,13126,13157,13264,13397,13449,13471,13471,13494,13522,13584,13591,13635,13671,13690,13690,13757,13803,13836,13862,13884,13934,13934,14036,14077,14142,14239,14314,14379,14403,14534,14641,14788,14848,14991,14991,14991,15153,15269,15475,15569,15648,15673,15673,15898,16099,16194,16489,16596,16733,17137,17279,17419,17509,17617,17800,17849,17849,17934,17971,18100,18149,18284,18322,18322,18399,18464,18583,18583,18583,18605,18605,18674,18704,18735,18843,19002,19141,19155,19202,19319,19359,19540,19587,19652,19652,15930.0
Changlang,87140,87772,88239,88835,89295,89931,90119,90119,90674,90981,91416,91893,92239,92496,92504,92974,93389,94083,94531,94876,95197,95283,95606,95831,96457,97027,98416,99292,99864,101149,102161,103134,103657,104387,104695,104706,105272,105574,106361,107045,108052,108560,108736,109713,110122,111530,112089,112908,112931,112931,114338,115719,117027,118038,119898,121261,121564,123175,124707,126458,128115,129391,129508,129615,130908,132097,133039,134135,134728,135020,135097,135671,136103,136349,136371,136371,136439,136463,136994,137317,138007,138700,139843,140106,140117,140679,141502,142257,143405,144015,144218,144218,114469.0
Upper Dibang Valley,4982,4982,5003,5012,5012,5028,5049,5049,5070,5083,5120,5120,5149,5149,5149,5149,5186,5188,5199,5201,5202,5202,5203,5223,5234,5237,5282,5282,5282,5282,5337,5376,5395,5396,5396,5396,5448,5454,5457,5503,5520,5534,5534,5572,5615,5670,5748,5775,5832,5833,5836,5915,5967,5991,6026,6027,6027,6030,6031,6080,6090,6090,6150,6185,6186,6187,6229,6383,6529,6536,6536,6564,6603,6618,6619,6658,6658,6658,6685,6695,6705,6732,6740,6742,6745,6745,6755,6757,6757,6759,6759,6759,5814.0
East Kameng,24564,24680,24840,24890,25057,25191,25293,25293,25505,25759,25914,26229,26548,26604,26740,26975,27273,27466,27631,27708,27805,27831,28041,28109,28306,28591,28769,28832,28977,29372,29718,29880,29978,30232,30311,30382,30645,30880,31052,31142,31384,31476,31476,31723,31923,32020,32152,32306,32458,32485,32770,33041,33197,33369,33639,33904,33904,34338,34743,35117,35287,35453,35455,35455,35762,35871,35928,36025,36374,36392,36392,36793,37014,37200,37323,37323,37323,37326,37571,37764,37929,38019,38067,38092,38092,38234,38333,38379,38408,38537,38576,38577,32127.0
East Siang,65455,65664,65794,65959,66086,66214,66367,66367,66683,66735,66964,67168,67298,67401,67401,67567,67685,67795,67912,67995,68128,68128,68219,68296,68390,68538,68743,69002,69002,69319,69478,69478,69638,69880,70075,70075,70400,70603,70858,71201,71522,71799,71799,72582,73164,73739,74532,76126,76278,76278,77415,78325,79239,80171,80996,81647,81647,82461,83075,83562,84302,84935,84950,84950,85746,86246,86799,87154,87502,87749,87749,88326,88574,88813,88813,88813,89053,89054,89617,89659,90048,90335,90737,91057,91057,91632,92239,92536,92813,93224,93435,93435,77409.0
Papum Pare,116662,116962,117544,117963,118358,118732,119178,119478,120130,120809,121576,122225,122920,123607,123683,124248,124827,125252,125686,126175,126545,126659,127126,127901,129392,131064,133001,135295,136654,138464,139988,141039,142010,143033,144319,145047,146393,147440,148541,149629,150656,152035,152035,153565,154795,156013,156980,158855,159047,159047,160483,161673,162830,163834,164777,166050,166050,167109,167971,168672,169352,170066,170749,170749,171765,172506,173232,173922,174640,175639,175639,176752,177496,178051,178051,178051,178682,178682,179560,180285,180820,181419,182102,182816,182816,183559,184233,184854,185424,185950,186596,186596,153251.0
Kamle,6831,6881,6884,7026,7147,7222,7230,7230,7416,7502,7532,7533,7696,7736,7745,7812,7847,7896,7906,7965,7966,7966,8030,8078,8078,8078,8078,8087,8087,8087,8131,8131,8177,8198,8256,8256,8292,8307,8325,8325,8353,8373,8373,8407,8418,8418,8461,8472,8472,8472,8481,8481,8511,8611,8759,8859,8859,8894,8894,8940,8947,9026,9026,9026,9068,9282,9328,9460,9504,9554,9629,9785,9927,10041,10172,10193,10193,10219,10238,10352,10421,10510,10511,10522,10599,10626,10655,10658,10750,10768,10820,10820,8740.0
Kra Daadi,7254,7265,7266,7291,7301,7309,7327,7327,7340,7360,7376,7453,7507,7578,7578,7611,7791,7911,8018,8036,8068,8068,8093,8194,8229,8263,8373,8376,8376,8430,8446,8488,8505,8526,8536,8536,8558,8578,8593,8618,8634,8665,8665,8688,8720,8724,8783,8820,8820,8820,8831,8846,8865,8900,8920,8936,8936,9011,9036,9063,9081,9136,9140,9140,9140,9221,9269,9276,9375,9378,9378,9397,9407,9412,9448,9448,9459,9459,9463,9488,9494,9506,9516,9519,9519,9519,9521,9526,9531,9539,9547,9547,8644.0
Kurung Kumey,10731,10839,10918,10979,11086,11167,11308,11308,11353,11390,11390,11411,11411,11421,11421,11431,11462,11526,11546,11598,11689,11689,11781,11781,11819,11830,11830,11883,11883,11954,11954,11954,11985,11985,12057,12057,12141,12141,12142,12171,12171,12181,12181,12209,12209,12227,12245,12257,12266,12266,12339,12399,12517,12560,12716,12756,12898,12942,12991,13036,13125,13176,13206,13206,13331,13348,13358,13358,13563,13923,13940,14053,14122,14217,14277,14302,14321,14321,14321,14321,14321,14363,14423,14440,14440,14494,14622,14684,14722,14722,14722,14722,12655.0
Lepa Rada,17261,17315,17388,17430,17450,17467,17499,17499,17580,17729,17781,17856,17905,17915,17915,17954,17964,17974,17985,18016,18038,18038,18082,18093,18113,18113,18167,18271,18271,18381,18511,18544,18652,18722,18786,18786,18887,18961,19051,19111,19207,19240,19240,19361,19501,19750,19957,20493,20529,20562,20986,21175,21376,21533,21599,21719,21719,21840,21922,21997,22073,22153,22196,22196,22324,22406,22483,22547,22607,22640,22640,22683,22744,22777,22787,22787,22820,22820,22913,22956,22998,23041,23082,23157,23157,23201,23262,23324,23384,23424,23444,23504,20301.0
Lohit,32302,32596,32666,32876,33202,33342,33440,33535,33793,33982,34167,34351,34501,34596,34596,34782,34850,35003,35214,35293,35362,35384,35519,35577,35710,35843,36020,36141,36185,36579,36726,36933,37222,37434,37591,37591,37845,37979,38107,38290,38472,38746,38746,39261,39413,39639,40058,40378,40458,40458,41069,41397,41888,42571,43039,43308,43308,44105,44310,44832,45555,46083,46175,46175,46869,47153,47436,48067,48319,48529,48529,49065,49203,49308,49308,49308,49416,49416,49962,50192,50359,50963,51308,51407,51408,51972,52129,52273,52656,52966,53123,53123,41591.0
Longding,19454,19759,19918,19981,20038,20075,20085,20356,20671,21004,21108,21174,21234,21234,21234,21245,21347,21434,21524,21546,21636,21638,21712,21736,21753,21800,21815,21870,21870,21955,22011,22051,22094,22145,22231,22290,22448,22488,22583,22631,22781,22888,22991,23166,23287,23361,23416,23525,23568,23724,23802,23882,23976,24072,24157,24238,24291,24345,24398,24490,24507,24543,24558,24558,24684,24734,24903,25042,25056,25293,25445,25646,25890,26131,26141,26174,26349,26356,26445,26490,26538,26590,26617,26682,26683,26733,26779,26851,26923,26971,27085,27085,23478.0
Lower Dibang Valley,36000,36177,36275,36387,36457,36524,36706,36747,36981,37177,37448,37584,37661,37828,37917,38080,38228,38371,38433,38520,38552,38625,38775,38846,38910,39024,39209,39382,39447,39666,39848,39873,40078,40220,40379,40389,40575,40714,40907,41200,41470,41688,41707,41925,42550,43013,43485,43798,43824,43949,44499,45103,45500,46215,46541,46897,46928,47466,47761,47941,48433,48908,48983,49033,49467,49989,50316,50847,51205,51392,51409,51733,51947,52078,52088,52108,52212,52279,52526,52706,52845,53125,53426,53609,53626,53839,54074,54282,54524,54639,54708,54728,44559.0
Lower Siang,17924,18099,18391,18689,18897,19106,19247,19247,19463,19659,19815,20072,20187,20259,20259,20348,20368,20417,20428,20507,20528,20528,20562,20595,20636,20701,20786,20871,20871,21133,21385,21408,21443,21466,21517,21517,21607,21679,21821,21913,21998,22061,22070,22255,22397,22432,22641,22753,22753,22753,22834,22977,23271,23331,23664,23690,23690,23738,23952,24037,24127,24175,24175,24317,24465,24508,24572,24781,24854,24961,25043,25076,25288,25584,25667,25689,25776,25896,25952,26037,26108,26138,26181,26201,26201,26253,26270,26323,26381,26521,26555,26555,22720.0
Lower Subansiri,31181,31377,31469,31592,31656,31778,31871,31924,32140,32313,32475,32598,32832,32963,32974,33151,33235,33367,33456,33561,33631,33677,33824,33982,34087,34279,34531,34850,35008,35360,35482,35659,35771,35930,36075,36252,36590,36805,36936,37055,37183,37433,37520,37765,37924,38189,38365,38825,38903,39041,39312,39658,39954,40190,40386,40625,40795,41023,41313,41482,41733,41944,42099,42099,42487,42567,42647,42897,42990,43110,43150,43459,43569,43681,43846,43952,44029,44069,44294,44384,44464,44687,44727,44846,44891,45197,45295,45366,45583,45643,45705,45743,38530.0
Namsai,66806,67229,67495,67722,67989,68118,68281,68320,68729,69188,69502,69898,70278,70453,70453,70622,70758,71032,71179,71354,71559,71567,71780,71939,72095,72332,72734,73133,73184,73673,74437,74922,75390,75962,76421,76471,76881,77141,77683,78318,78872,79249,79249,79807,80231,80624,81130,81607,81942,82040,83356,84568,85593,87305,88768,90042,90240,91959,93539,94686,95784,96625,96717,96717,98146,99433,100341,101299,102072,102702,102756,103359,103599,104014,104014,104311,104553,104642,105333,105942,106445,107126,107667,107998,107998,108481,108815,109211,109747,110380,110643,110643,85928.0
Pakke Kessang,9700,9888,9892,10020,10046,10193,10229,10254,10403,10403,10528,10550,10631,10652,10652,10756,10779,10817,10828,10871,10886,10886,10925,10925,10953,11039,11087,11119,11119,11181,11181,11206,11206,11214,11232,11232,11260,11282,11290,11300,11326,11356,11408,11486,11486,11514,11514,11534,11534,11619,11713,11755,11775,11775,11822,11830,11934,11959,11959,11962,11984,12005,12060,12189,12235,12242,12264,12280,12307,12317,12317,12333,12333,12339,12363,12372,12379,12379,12414,12414,12445,12445,12568,12579,12715,12823,12842,12893,12901,12965,12988,13002,11550.0
Papum Pare,34941,35355,35447,35667,36016,36152,36273,36335,36755,36979,37268,37655,37892,37971,38012,38247,38354,38488,38660,38955,38977,38999,39141,39335,39457,39721,40027,40345,40542,40882,41322,41613,42017,42345,42717,42820,43045,43295,43842,44142,44408,44559,44656,45241,45571,45993,46220,46484,46685,46796,47128,47288,47574,48185,48801,49093,49206,49522,49659,49908,50163,50445,50536,50606,50775,51017,51302,51626,51770,52052,52114,52375,52525,52678,52784,52835,52942,52976,53176,53310,53414,53538,53686,53756,53756,53937,54206,54334,54549,54761,54830,54830,45615.0
Shi Yomi,8388,8419,8442,8474,8533,8607,8706,8726,8787,8817,8838,8925,8939,9017,9039,9060,9089,9089,9089,9100,9180,9181,9202,9213,9233,9243,9243,9243,9264,9341,9440,9449,9520,9530,9566,9576,9586,9606,9612,9633,9639,9718,9782,9789,10041,10161,10204,10270,10306,10406,10566,10732,10962,11127,11339,11434,11434,11464,11611,11799,11933,11980,12041,12041,12073,12080,12100,12123,12133,12190,12190,12212,12241,12244,12264,12264,12283,12283,12313,12333,12382,12389,12389,12418,12418,12471,12493,12501,12537,12567,12573,12573,10541.0
Siang,17351,17511,17555,17590,17630,17698,17715,17760,17827,17955,18023,18040,18135,18150,18152,18267,18308,18341,18383,18427,18439,18439,18476,18546,18614,18614,18707,18711,18711,18790,18790,18790,18790,18835,18835,18835,18847,18861,18883,18998,19085,19086,19086,19264,19347,19385,19417,19730,19867,19942,20163,20229,20303,20429,20673,20717,20856,21214,21268,21314,21386,21482,21581,21643,21917,21975,21995,22066,22322,22334,22334,22631,22649,22672,22672,22799,22814,22814,22957,22987,23062,23073,23155,23239,23239,23276,23298,23338,23396,23474,23476,23476,20220.0
Tawang,34062,34293,34327,34619,34842,35126,35487,35655,36105,36221,36484,36722,36809,36841,36864,37155,37241,37412,37547,37719,37720,37762,38034,38127,38248,38297,38436,38484,38604,39327,39923,40495,40703,40831,41013,41013,41790,42038,42280,42700,43193,43245,43245,44091,44503,44995,45383,45724,45961,45961,46694,46881,47202,47666,47927,48178,48438,48896,49107,49413,49560,49719,49719,49719,50078,50484,50609,50783,50919,50919,50919,51288,51353,51420,51420,51420,51462,51462,51654,51734,51816,51928,51990,51990,51990,52146,52201,52656,52771,52829,52840,52840,44442.0
Tirap,33006,33312,33394,33507,33554,33667,33727,33727,33978,34094,34235,34391,34544,34648,34669,34751,34817,34953,35079,35259,35317,35364,35585,35794,35957,36136,36373,36786,36840,37159,37483,37752,37934,38216,38348,38348,38662,38898,39160,39435,39684,40204,40273,40623,40988,41221,41405,41806,41806,41806,42498,42864,43371,43678,44291,44570,44942,45506,45742,46146,46360,46944,47310,47351,47737,48009,48323,48684,49191,49663,49813,50523,50686,50900,50911,50922,51081,51081,51253,51369,51523,51649,51899,52004,52099,52251,52346,52480,52568,52665,52765,52765,42363.0
Upper Siang,22621,22731,22785,22914,23057,23158,23158,23158,23303,23323,23506,23681,23778,23833,23833,23999,23999,24122,24139,24215,24261,24261,24312,24323,24360,24392,24392,24392,24392,24392,24396,24396,24419,24453,24554,24633,24649,24691,24944,25449,25618,25693,25693,25905,26062,26213,26542,26926,26947,26960,27166,27292,27437,27440,27560,27811,27812,28136,28465,28618,28722,28822,28880,28880,29009,29247,29560,29796,29935,30225,30287,30654,30706,30849,30849,30849,31137,31158,31349,31383,31444,31567,31626,31816,31816,31895,31922,32016,32054,32111,32265,32265,27008.0
Upper Subansiri,27535,27558,28000,28204,28479,28633,28785,28899,29293,29645,29887,30000,30220,30366,30386,30578,30742,30791,30953,31036,31217,31358,31565,31802,32050,32227,32239,32313,32433,32717,32955,33080,33330,33453,33652,33713,33840,33944,34242,34350,34555,34607,34631,34975,35094,35249,35339,35456,35472,35486,35626,35744,36006,36114,36284,36500,36500,36662,36822,36934,37095,37305,37354,37406,37619,37829,37990,38170,38293,38304,38321,38553,38684,38861,38901,38901,38921,38921,39012,39293,39474,39635,39896,40017,40017,40251,40539,40666,40903,41062,41232,41232,34904.0
West Kameng,59772,60082,60306,60599,60996,61349,61562,61736,62067,62344,62699,63056,63332,63562,63902,64236,64723,65102,65415,65577,65908,65939,66248,66589,66980,67316,67656,67948,68233,69078,69478,69841,70137,70611,71201,71323,71884,72236,72597,72854,73123,73484,73532,74191,74730,75821,76408,77300,77323,77364,78420,79259,79913,80460,81058,81519,81569,82594,83288,83980,84647,85366,85550,85580,86421,87112,87618,87969,88392,88776,89057,89617,89939,90340,90632,90870,91164,91358,91903,92125,92461,92834,93252,93690,93911,94362,94788,95288,95544,95730,95927,96031,77283.0
West Siang,42806,42979,43102,43152,43286,43503,43652,43722,43891,44057,44346,44707,44892,44963,44980,45075,45114,45159,45229,45261,45302,45312,45382,45419,45454,45535,45744,45975,46040,46285,46683,46994,47236,47426,47481,47481,47681,47883,48113,48446,48854,49240,49404,50292,50921,51390,52123,52612,52678,52904,53589,54315,54697,55391,55924,56278,56380,56889,57189,57367,57553,57815,57970,57970,58491,58766,58987,59273,59467,59617,59617,59954,60057,60164,60164,60164,60289,60289,60488,60606,60681,60807,60880,60937,60937,61101,61227,61267,61389,61576,61640,61640,52239.0
