District,01-05-2021,02-05-2021,03-05-2021,04-05-2021,05-05-2021,06-05-2021,07-05-2021,08-05-2021,09-05-2021,10-05-2021,11-05-2021,12-05-2021,13-05-2021,14-05-2021,15-05-2021,16-05-2021,17-05-2021,18-05-2021,19-05-2021,20-05-2021,21-05-2021,22-05-2021,23-05-2021,24-05-2021,25-05-2021,26-05-2021,27-05-2021,28-05-2021,29-05-2021,30-05-2021,31-05-2021,01-06-2021,02-06-2021,03-06-2021,04-06-2021,05-06-2021,06-06-2021,07-06-2021,08-06-2021,09-06-2021,10-06-2021,11-06-2021,12-06-2021,13-06-2021,14-06-2021,15-06-2021,16-06-2021,17-06-2021,18-06-2021,19-06-2021,20-06-2021,21-06-2021,22-06-2021,23-06-2021,24-06-2021,25-06-2021,26-06-2021,27-06-2021,28-06-2021,29-06-2021,30-06-2021,01-07-2021,02-07-2021,03-07-2021,04-07-2021,05-07-2021,06-07-2021,07-07-2021,08-07-2021,09-07-2021,10-07-2021,11-07-2021,12-07-2021,13-07-2021,14-07-2021,15-07-2021,16-07-2021,17-07-2021,18-07-2021,19-07-2021,20-07-2021,21-07-2021,22-07-2021,23-07-2021,24-07-2021,25-07-2021,26-07-2021,27-07-2021,28-07-2021,29-07-2021,30-07-2021,31-07-2021,Mean Vaccination
Kra Daadi,1595,1621,1636,1651,1711,1730,1747,1753,1753,1759,1774,1785,1800,1810,1830,1830,1919,2025,2121,2216,2332,2378,2463,2586,2606,2712,2723,2742,2752,2777,2792,2792,2823,2856,2925,2953,2953,3041,3041,3081,3081,3137,3137,3234,3337,3337,3378,3435,3450,3450,3471,3485,3515,3532,3678,4475,4572,4681,4883,5073,5275,5379,5413,5514,5602,5703,5815,5860,5897,5912,5922,5922,5964,5981,5997,6038,6148,6178,6208,6283,6349,6392,6413,6537,6629,6629,6649,6739,6829,6881,7062,7250,3947.0
Kurung Kumey,3385,3383,3372,3449,3458,3478,3493,3591,3589,3626,3639,3677,3695,3694,3749,3749,3778,3801,3880,3892,4005,4137,4157,4282,4288,4313,4313,4451,4534,4534,4534,4533,4542,4542,4604,4682,4682,4711,4711,4711,4711,4720,4730,4730,4764,4764,4764,4764,4794,4805,4805,4826,4824,4824,4947,7006,7065,7179,7488,7556,7639,7772,8004,8185,8344,8673,8819,8987,9001,9017,9066,9066,9190,9234,9333,9435,9526,9606,9692,9743,9780,9862,9955,10059,10108,10208,10317,10447,10559,10605,10646,10726,6210.0
Lepa Rada,4556,4555,4593,4609,4644,4686,4721,4766,4766,4807,4847,4867,4873,4873,4893,4893,5003,5166,5235,5303,5323,5333,5333,5342,5361,5361,5371,5381,5390,5390,5410,5420,5430,5450,5560,5669,5769,5909,6028,6167,6306,6316,6367,6367,6486,6595,6729,6831,6933,6953,6953,7262,7694,8315,8559,11467,11748,11818,12171,12382,12522,12712,12803,12943,13043,13342,13611,14043,14323,14613,14815,14905,15125,15345,15588,15728,15918,16048,16048,16248,16431,16521,16582,16634,16704,16704,16785,16833,16903,17002,17075,17174,9374.0
Lohit,6306,6302,6444,6505,6575,6646,6772,6809,6803,6910,6994,7039,7108,7119,7147,7147,7507,7796,7993,8078,8134,8145,8145,8165,8197,8235,8263,8274,8321,8321,8347,8369,8415,8606,8946,9150,9150,9664,9794,10092,10329,10732,10819,10819,11014,11304,11414,11658,12140,12517,12517,13038,13476,14279,15105,17852,18050,18050,19099,19869,20567,21127,21528,21795,21795,22626,23284,24000,24642,25306,25618,25618,26406,26847,27170,27872,28382,28584,28584,29228,29427,29779,30149,30616,30835,30835,31295,31523,31740,31987,32174,32254,15874.0
Longding,3545,3549,3702,3762,3836,3856,3907,3958,3963,3991,4056,4129,4163,4164,4180,4180,4269,4388,4500,4607,4704,4808,4999,5057,5081,5084,5117,5119,5119,5119,5119,5119,5121,5172,5202,5382,5598,5772,5843,6093,6493,7044,7173,7396,7922,8302,8481,8614,8755,8846,8939,9239,9549,9773,9818,11593,11617,11731,11828,11960,12236,12534,12765,13196,13596,14187,14668,15229,15529,15904,16092,16736,17187,17460,17606,17746,17842,18050,18184,18302,18405,18479,18583,18649,18683,18847,18978,19079,19216,19296,19341,19372,9917.0
Lower Dibang Valley,8339,8347,8428,8508,8552,8572,8610,8674,8680,8730,8773,8816,8844,8874,8923,8931,9149,9348,9560,9638,9668,9674,9676,9693,9721,9725,9738,9754,9831,9831,9841,9880,9889,9899,10464,11018,11019,11053,11634,12138,12177,12336,12356,12358,12415,12493,13063,13688,14615,15983,15995,16993,17786,18493,18927,22540,22893,23256,23985,24396,24838,25454,25942,26547,26661,27468,28092,28948,29367,29786,30049,30049,30568,31001,31603,32030,32429,32726,32734,33271,33690,33994,34335,34715,34892,34949,35231,35429,35584,35674,35773,35827,18770.0
Lower Siang,3900,3900,4008,4018,4062,4101,4159,4183,4183,4218,4283,4355,4411,4473,4473,4473,4599,4747,4905,4928,4951,4963,4963,4974,4974,5022,5042,5058,5058,5058,5058,5071,5071,5116,5251,5588,5588,5942,5991,6020,6048,6079,6211,6307,6355,6496,6801,7014,7169,7353,7353,7727,7814,8112,8488,9776,9882,9924,10140,10311,10538,10650,10806,11008,11058,11296,11475,11767,12282,12679,12920,13146,13593,14191,14481,15138,15372,15567,15567,15984,16151,16426,16723,16927,16927,16927,16973,17090,17459,17600,17777,17849,8814.0
Lower Subansiri,7306,7326,7441,7538,7676,7747,7835,7907,7945,8000,8046,8122,8174,8205,8232,8265,8460,8833,9133,9328,9632,9710,9773,9832,9885,9925,9925,9931,9940,9970,9983,9983,9993,10493,11019,11533,11844,12100,12157,12273,12273,12373,12571,12964,13341,13496,13603,13832,14081,14317,14338,14850,15024,15437,15771,20208,20572,20813,21199,21525,21860,22101,22437,22853,23209,23441,23857,24295,24696,25128,25538,25887,26294,26597,26889,27132,27368,27630,27913,28231,28446,28727,29015,29403,29651,29907,30243,30402,30600,30792,30971,31202,16812.0
Namsai,12494,12494,12620,12724,12786,13290,13375,13479,13479,13841,14011,14124,14555,14712,14902,14902,15194,15637,16194,16550,16620,16652,16652,16780,16830,16830,16953,17146,17318,17318,17372,17459,17603,17982,18662,19405,19405,19853,20134,20386,20809,21196,21487,21514,22171,22836,23446,24273,25124,25958,25957,26658,27516,28295,29205,34893,37268,38540,41503,41982,45077,47079,49321,50293,50589,52533,53701,54254,55145,55761,56628,56733,57670,58221,58623,59576,60461,61112,61261,62088,62704,63140,63760,64051,64469,64469,65092,65460,65842,66047,66430,66646,33517.0
Pakke Kessang,3014,3081,3149,3193,3211,3230,3264,3294,3377,3478,3524,3543,3557,3577,3578,3615,3825,3869,3929,3955,3977,3977,3977,3998,4014,4032,4042,4052,4052,4052,4052,4052,4130,4263,4338,4357,4412,4464,4464,4481,4481,4506,4531,4628,4663,4781,4796,4796,4811,4821,4933,5065,5072,5077,5087,6559,6578,6687,6747,6747,6787,6806,6915,6953,7240,7298,7385,7412,7469,7527,7622,7834,8004,8004,8173,8248,8371,8451,8616,8706,8726,8772,8916,8966,9045,9194,9387,9437,9519,9571,9652,9697,5680.0
Papum Pare,9726,9738,9919,10148,10412,10538,10701,10805,10837,10925,10971,11052,11162,11184,11224,11258,11551,11891,12225,12577,12638,12669,12689,12901,12913,12925,12955,12979,13188,13198,13242,13242,13310,13522,14002,14558,14776,15331,15933,16288,16628,16717,16927,17141,17295,17417,17953,18294,18779,19088,19153,19891,20185,20579,20749,25739,26118,26221,26629,26965,27346,27582,27858,28197,28385,28804,29121,29392,29676,29920,30245,30473,30834,31100,31022,31449,31597,31811,31884,32264,32594,32849,33202,33535,33639,33692,33992,34135,34323,34619,34862,35160,20719.0
Shi Yomi,1978,1997,2064,2125,2139,2152,2197,2246,2262,2270,2280,2280,2280,2290,2313,2313,2345,2434,2436,2531,2542,2542,2597,2617,2617,2617,2617,2617,2649,2659,2659,2668,2668,2668,2668,2668,2668,2761,2888,2888,2928,2940,2960,2978,2989,2997,2997,3016,3016,3124,3207,3473,3728,3950,4249,5924,6150,6322,6343,6557,6628,6702,6869,6997,7051,7073,7094,7138,7161,7230,7394,7421,7456,7480,7537,7579,7601,7684,7729,7758,7809,7840,7871,7882,7925,7979,8012,8055,8109,8139,8183,8325,4563.0
Siang,4294,4294,4466,4486,4502,4543,4591,4591,4591,4627,4633,4633,4647,4673,4670,4670,4918,5078,5088,5120,5174,5174,5174,5234,5234,5287,5287,5364,5364,5364,5417,5417,5417,5417,5731,5731,5731,5752,5762,5762,5762,5774,5774,5774,5773,5778,5822,5992,6146,6279,6279,6486,6681,6787,7289,9791,10567,10980,11364,11523,11705,11990,12281,12633,12767,13140,13324,13384,13513,13868,14377,14468,14833,14940,15279,15527,15788,15869,15953,16190,16253,16306,16323,16551,16598,16667,16856,16925,16968,17020,17138,17250,9035.0
Tawang,8585,8615,8839,8899,8989,9097,9140,9182,9182,9363,9523,9587,9614,9657,9657,9657,9927,10186,10394,10635,10701,10701,10701,10914,10990,11066,11139,11285,11296,11325,11460,11509,11537,11604,11788,12214,13260,14040,14281,14697,14703,14710,15129,15655,15674,15681,16133,16873,17457,18069,18356,19382,20153,20736,21103,26168,26253,26341,27162,27315,27637,27981,28624,28793,28921,29590,29895,29960,30136,30360,30431,30431,30868,31167,31330,31467,31709,31931,31931,32352,32516,32625,32827,33035,33277,33277,33342,33496,33661,33706,34045,34076,19823.0
Tirap,4966,4966,5135,5189,5227,5298,5330,5366,5366,5452,5500,5607,5632,5665,5694,5694,5857,5981,6192,6410,6535,6629,6631,6740,6769,6842,6930,6934,6979,6979,6979,7100,7162,7200,7485,7726,7831,8243,8602,9169,9739,9988,10293,10666,11204,11624,12138,12622,13125,13491,13491,13999,14509,14799,15301,18083,18457,18635,19950,20409,21099,21618,21774,21967,22273,23681,24321,25642,26322,26847,27611,27928,28294,28710,29252,29835,30221,30588,30588,30940,31167,31389,31721,31961,32103,32122,32388,32485,32589,32753,32855,32966,15810.0
Upper Siang,5998,5997,6065,6206,6341,6474,6590,6712,6710,6812,6813,6874,6965,6998,6998,6998,7205,7337,7457,7629,7648,7648,7648,7756,7756,7756,7797,7802,7822,7822,7822,7822,7831,7864,8006,8186,8186,8567,8749,8869,8932,9063,9198,9251,9589,9675,9806,9927,9970,9981,10002,10608,11035,11201,11573,14413,14619,15023,15359,15359,15359,15359,15405,15974,16031,16521,16844,16978,17152,17532,17889,17889,18241,18746,19267,19693,20090,20110,20407,20519,20561,20958,21146,21379,21535,21602,21758,21880,21998,22202,22484,22551,12339.0
Upper Subansiri,6545,6694,6891,7224,7354,7690,7879,8107,8227,8316,8417,8434,8576,8633,8788,8862,9146,9404,9612,9935,10194,10382,10633,11007,11184,11269,11269,11278,11300,11311,11311,11405,11572,11818,11887,12067,12295,12532,12944,13186,13416,13621,13776,13872,14128,14183,14345,14484,14517,14547,14547,14692,14819,14987,15211,18485,18575,18575,18700,18728,18909,19093,19163,19195,19549,19685,19819,20099,20401,20751,21045,21239,21490,21851,22239,22665,22994,23372,23679,24102,24289,24371,24564,25003,25180,25580,25982,26345,26614,26853,27060,27250,15589.0
West Kameng,14617,14658,14781,14844,15052,15212,15301,15334,15333,15470,15563,15668,15839,15878,15909,15909,16132,16347,16560,16796,16992,17239,17239,17464,17734,17745,17854,17975,18100,18100,18224,18246,18368,18438,18520,18776,19104,19929,20502,21327,21799,22248,22559,22954,23262,23566,23802,23935,24323,24723,24722,26122,26905,28467,29812,37594,38484,38634,40013,40542,40952,41764,42694,43152,43475,44885,45498,46195,47246,48047,48833,49083,50294,51070,52043,52727,53231,53530,53629,54711,55340,56182,56849,57325,57728,57728,58128,58377,58642,58940,59183,59389,31526.0
West Siang,11714,11714,11816,11869,11920,11984,12049,12061,12075,12157,12205,12242,12294,12310,12352,12377,12636,12856,13062,13236,13268,13281,13289,13377,13383,13403,13402,13413,13426,13426,13477,13477,13500,13834,14247,14669,15139,15606,15923,15952,15975,15994,16016,16028,16341,16858,17469,18112,18808,19709,19969,21289,22011,22587,23142,27935,28640,29124,29893,30433,30979,31435,32021,32745,33091,33671,34105,34450,34933,35517,36006,36382,37214,37760,38477,39198,39679,39911,39996,40447,40814,41021,41269,41591,41779,41817,42040,42124,42215,42321,42418,42863,23598.0
