District,01-05-2021,02-05-2021,03-05-2021,04-05-2021,05-05-2021,06-05-2021,07-05-2021,08-05-2021,09-05-2021,10-05-2021,11-05-2021,12-05-2021,13-05-2021,14-05-2021,15-05-2021,16-05-2021,17-05-2021,18-05-2021,19-05-2021,20-05-2021,21-05-2021,22-05-2021,23-05-2021,24-05-2021,25-05-2021,26-05-2021,27-05-2021,28-05-2021,29-05-2021,30-05-2021,31-05-2021,01-06-2021,02-06-2021,03-06-2021,04-06-2021,05-06-2021,06-06-2021,07-06-2021,08-06-2021,09-06-2021,10-06-2021,11-06-2021,12-06-2021,13-06-2021,14-06-2021,15-06-2021,16-06-2021,17-06-2021,18-06-2021,19-06-2021,20-06-2021,21-06-2021,22-06-2021,23-06-2021,24-06-2021,25-06-2021,26-06-2021,27-06-2021,28-06-2021,29-06-2021,30-06-2021,01-07-2021,02-07-2021,03-07-2021,04-07-2021,05-07-2021,06-07-2021,07-07-2021,08-07-2021,09-07-2021,10-07-2021,11-07-2021,12-07-2021,13-07-2021,14-07-2021,15-07-2021,16-07-2021,17-07-2021,18-07-2021,19-07-2021,20-07-2021,21-07-2021,22-07-2021,23-07-2021,24-07-2021,25-07-2021,26-07-2021,27-07-2021,28-07-2021,29-07-2021,30-07-2021,31-07-2021,Mean Vaccination
Nicobars,8159,8157,8206,8224,8242,8285,8311,8320,8320,8321,8334,8347,8353,8353,8359,8359,8359,8359,8368,8367,8418,8478,8478,8539,8611,8611,8631,8639,8639,8639,8639,8639,8649,8649,8649,8649,8649,8649,8648,8668,8709,8720,8719,8719,8782,8887,9055,9216,9495,9912,9912,10241,10839,11611,12446,14989,15589,15589,16376,17123,17748,1433521,18699,19157,19157,19762,20542,20883,21267,21732,21965,21965,22334,22626,24077,24859,25484,25742,25840,26334,27032,27032,27608,27844,28031,28122,28324,28695,28932,29110,29195,29365,29959.0
North and Middle Andaman,29514,29514,29562,29588,29648,29695,29750,29790,29790,29901,29930,29972,30012,30012,30050,30050,30076,30082,30093,30369,30660,30985,30985,30985,31279,31561,31732,31757,32074,32269,32324,32416,32416,32416,32416,32431,32431,32431,32431,32450,32741,32965,33332,33333,33641,33970,34270,34564,34662,34661,34661,34669,35458,36241,37174,41766,43141,44798,45233,47463,49646,50208,50798,51412,51694,53143,55608,57858,59774,62709,66100,66178,69649,71991,74667,75737,76602,77197,77258,77669,79164,79164,80902,82702,84126,84547,84804,86313,87969,89568,90923,91335,46435.0
South Andaman,56329,56454,56865,57252,57610,58249,58909,59529,59638,60217,60581,60899,61237,61325,61649,61649,62057,62332,62816,63291,63717,64142,64525,64915,65234,65761,66185,66908,67604,67651,68124,68766,69258,69936,70441,70891,70899,71427,71838,72089,72648,73165,73657,73659,74209,74688,75186,75668,76225,76628,76629,77054,78432,80778,83913,97345,100900,100938,104312,107004,108899,110146,111724,113534,113664,116523,120325,124124,127553,131284,134518,134916,138467,142028,147925,150551,152728,154932,155012,157256,159503,159558,162154,164831,167038,167170,169838,171848,173900,175520,176778,178269,96573.0
Anantapur,412318,412334,412545,412555,412475,429857,433351,440745,440784,440758,443494,443907,445071,445304,445354,445354,447569,448020,448141,448198,448549,450737,450779,452440,454524,482878,535433,558507,568181,568528,574999,592807,598094,598948,626923,629153,629180,629836,630169,630318,659440,660558,679580,679659,700984,704090,704916,705100,705206,705308,793056,795340,795695,798358,826480,1043432,1052934,1054893,1067609,1084252,1131341,1167710,1180747,1186585,1187488,1195746,1197499,1198654,1199262,1204195,1206672,1256352,1268019,1269471,1337273,1345738,1367837,1385569,1385730,1396494,1418288,1438190,1451424,1463973,1474855,1474946,1586068,1593884,1603609,1605454,1618100,1625380,863680.0
Chittoor,504601,504615,507329,508457,508751,515856,519537,523405,523478,523476,523380,523978,524912,525426,525754,525757,525676,526338,527269,527667,528962,529998,530064,534293,537676,546902,598054,651997,671913,672024,679235,688900,702561,706674,737396,744513,744761,746778,747593,748364,774514,778781,796446,796508,816390,822465,825419,828121,828844,829179,929223,933774,935099,936319,959663,1222134,1253035,1253486,1258707,1302551,1327956,1336374,1373089,1383376,1383538,1386034,1387463,1388889,1391326,1394148,1396208,1396383,1437319,1452212,1482003,1485603,1498998,1534517,1535032,1546218,1569897,1575863,1582740,1607314,1617830,1618411,1737421,1747897,1752661,1752661,1834360,1847494,992241.0
East Godavari,482345,482328,484284,484325,486124,487384,493854,494083,499289,499261,499172,499404,499338,499372,499050,499047,498985,500081,500031,500120,501415,502348,502337,509382,528524,567471,626334,685888,698799,698794,699169,719402,731966,735968,774630,780783,780789,811276,820525,836575,862823,893533,904481,905840,948709,957193,960621,963697,964430,965136,1119103,1120032,1120880,1123608,1150787,1420346,1428953,1457745,1459761,1507059,1531214,1584646,1597605,1604511,1604840,1613011,1620564,1623887,1632745,1636788,1684335,1686401,1700221,1740984,1774428,1786823,1827729,1843576,1848659,1866125,1908435,1909759,1925396,1939903,1949955,1950329,2142985,2150808,2157338,2169990,2180827,2189531,1130645.0
Guntur,462867,462883,462830,463065,476563,484117,491435,492061,492035,492533,493214,495045,496448,497634,499360,499349,501164,504059,505902,506801,508494,508607,508810,510878,520751,540025,598781,648505,661047,663059,677234,682930,693726,695603,731343,743016,746385,755586,758783,789496,798958,804556,831170,831692,866593,877110,881092,883456,886287,889294,993581,996161,1012120,1019346,1039962,1311485,1336485,1337505,1385854,1405315,1422369,1433521,1482488,1490104,1498997,1509439,1513734,1520114,1527375,1536229,1542624,1543238,1602513,1610735,1677039,1683359,1709517,1729408,1730055,1744470,1772577,1784563,1795012,1811347,1824682,1825391,1922869,1938201,1948306,1984971,1996922,2016307,1056945.0
Krishna,472411,472472,473298,473299,480722,485612,487437,492734,493616,493554,493353,493681,494990,495232,498203,498266,502053,502506,503763,504557,505542,505685,505686,543357,593798,636060,657511,669441,674311,674311,675632,699057,710151,717109,753775,760899,776963,794426,800543,841181,846631,884557,889114,928780,935943,939211,941395,942840,944474,945646,1085630,1090014,1097453,1099815,1120119,1425374,1436961,1438240,1466295,1482926,1506457,1522542,1567347,1578237,1581004,1599541,1611476,1615917,1617277,1618266,1626845,1629425,1641225,1667121,1699530,1706112,1721970,1730641,1732605,1748457,1762333,1813055,1839430,1855398,1863952,1865116,1959371,1964264,1968307,1975780,1980525,2036596,1096247.0
Kurnool,373864,373965,376209,377350,378538,381627,383736,386414,386443,386518,388426,389245,389629,389618,389766,389765,393991,396250,397959,398676,399113,399311,399309,399713,400794,414000,434330,474736,508044,508252,524757,533026,540037,543539,563513,570606,570875,574716,576612,578049,606748,612782,631139,631343,651020,657280,658782,659073,659136,659268,737185,739295,739544,739815,741015,944179,969775,970124,976845,1018550,1024862,1050771,1078420,1084801,1085121,1086549,1087141,1087721,1088022,1088591,1104309,1135341,1149856,1155650,1188539,1211441,1226400,1256587,1260212,1270426,1281453,1283831,1301232,1317050,1327474,1328266,1390896,1421742,1434994,1443630,1470163,1482096,780954.0
Prakasam,354913,355352,356424,356937,363154,366864,371041,374227,374634,374622,374548,374480,375314,375630,375853,378147,379213,381207,384110,386898,389754,393119,393451,416697,435458,453262,488867,503991,507879,508600,511881,526125,532195,551297,564756,569339,582994,593082,596136,609573,617913,640234,642002,662748,666353,666698,666697,666695,666692,666699,769944,775253,775825,775922,797353,1013102,1037079,1039832,1046432,1072336,1093925,1104316,1120556,1132297,1134408,1147423,1154714,1158377,1161455,1162877,1168516,1185294,1198456,1212196,1245384,1251896,1273281,1297322,1299619,1308750,1324685,1328539,1331651,1344443,1348689,1349075,1437032,1462307,1473237,1481917,1506111,1522195,803791.0
S.P.S. Nellore,362461,362853,363441,363940,372080,377597,380943,386596,386774,386760,386736,389317,390552,391469,392637,392634,393273,393851,394313,396173,398307,399319,399340,401670,404692,428550,479604,511022,514272,514994,516166,535205,540056,544081,564506,570120,575715,580787,583885,601770,608702,625807,630026,643656,652212,655903,656462,656689,657431,659181,736664,739957,740771,741138,753071,991127,1009578,1012177,1060463,1068604,1071184,1113109,1115524,1119552,1119621,1130242,1133210,1134039,1134689,1138975,1188161,1192230,1195467,1231644,1262947,1266827,1289594,1298740,1300509,1313476,1329843,1331723,1346177,1348529,1350080,1350187,1447192,1455923,1458594,1481557,1489719,1525248,801006.0
Srikakulam,305853,305853,307265,307967,308516,310879,312482,315002,314999,314974,315686,316604,317085,317073,317427,317427,317613,318059,318493,319305,319723,319942,319933,320092,322312,323457,352830,390843,437230,441102,441101,461457,464779,469219,493410,498520,498518,506465,508680,509196,536438,537032,546007,546033,590694,600302,601656,601873,601871,601870,689403,689709,690157,690391,703959,854926,889339,889351,903784,908948,935910,943056,963951,975981,975981,988004,991827,1000934,1003617,1005105,1007045,1007045,1038233,1043877,1074146,1077665,1078900,1090812,1090886,1095559,1105428,1106277,1121592,1126797,1130449,1130451,1182723,1190462,1192745,1195375,1198303,1233426,681018.0
Visakhapatnam,475799,475984,481497,484342,488091,494763,500200,505088,505128,505324,506884,507515,509158,510203,511699,511692,512636,513528,514471,515699,517158,518883,519439,524609,537516,565956,602413,646163,665406,667605,675271,691046,719176,726549,770388,784068,785527,824642,836089,846043,880402,894194,924234,926252,962453,974414,982491,990642,1003687,1008068,1117793,1123639,1132723,1140173,1164001,1426210,1458030,1459608,1475231,1496149,1560163,1571044,1622164,1635212,1636166,1647319,1652624,1658621,1666834,1671724,1676752,1677613,1715515,1728396,1757674,1763316,1786578,1810124,1815846,1832839,1847059,1856683,1883163,1899312,1910165,1911120,2018730,2031285,2041211,2052474,2059469,2067860,1124555.0
Vizianagaram,254233,254420,257452,258699,259272,261113,263321,264615,264616,264624,264577,264915,265059,265101,265534,265534,266649,266943,267170,267268,267346,267396,267394,267411,268249,272976,317882,346113,355514,357390,362789,367839,385621,388201,403650,410196,410238,410978,411129,411131,433827,443417,455620,455769,481091,490941,494337,495984,496481,496582,561383,573345,574319,574509,587626,708069,726494,726551,735103,746180,758381,784713,795051,800500,800742,806088,807594,809949,812069,813532,814443,814507,840577,849041,863097,866810,871025,880690,880847,889554,897024,899272,907527,912807,916563,916630,926524,938559,947519,954852,961984,967458,556240.0
West Godavari,365379,365420,365318,365296,375202,384377,389799,390831,390800,390747,390693,391142,391417,391386,392994,393702,394288,394366,394629,394814,394770,395027,395173,403009,412368,440204,510260,524415,529295,530958,531038,550247,563172,592442,614983,623272,644766,653547,654083,688039,698637,740022,740759,740793,791411,792990,793112,793192,793839,794363,961040,967301,968128,968242,998066,1222348,1262313,1262516,1286500,1298162,1320677,1326868,1375770,1385586,1386852,1401577,1403022,1403829,1404345,1404574,1451786,1452456,1454084,1505268,1516046,1517507,1566808,1574198,1575491,1586598,1611532,1613892,1616250,1617611,1618767,1618837,1727523,1738273,1743629,1766462,1787628,1816081,940513.0
Y.S.R. Kadapa,347916,347914,347959,347948,363708,365499,365928,370791,370786,370800,370750,370725,371110,371096,371083,371083,371844,373257,373621,373932,373991,373988,373987,374413,374521,405844,443999,465029,482844,482848,487151,505545,514544,517339,541897,546863,546941,547768,548179,548188,566308,570459,586549,586592,619598,627110,628882,629762,630168,630361,707224,721513,723420,724228,744161,942915,966570,966771,972095,998017,1018915,1046653,1058884,1064540,1065064,1071150,1073056,1075858,1076895,1077646,1078021,1078021,1115915,1122882,1161984,1167043,1173148,1193544,1193560,1199001,1207684,1213170,1223223,1229031,1232128,1232127,1274178,1294482,1303475,1308132,1330502,1339721,745826.0
Anjaw,2553,2553,2570,2615,2653,2691,2731,2738,2825,2871,2889,2933,2950,3002,3072,3072,3179,3282,3405,3417,3427,3427,3427,3427,3442,3442,3450,3450,3512,3512,3512,3512,3556,3649,3778,3861,3961,3980,4134,4477,4738,5074,5235,5271,5370,5417,5576,5671,5841,5896,5925,6114,6159,6449,6610,8162,8416,8800,9074,9340,9438,9740,9906,10178,10209,10251,10294,10343,10567,11023,11096,11107,11168,11246,11333,11387,11472,11635,11703,11805,11919,12009,12086,12149,12343,12343,12417,12472,12607,12693,12733,12723,6788.0
Changlang,16476,16475,16591,16645,17098,17452,17718,17895,17894,18146,18247,18360,18474,18731,18967,18985,19340,19806,20179,20855,21504,21868,21868,22383,22698,22760,22851,22886,22986,23109,23271,23373,23508,24356,25595,26750,26955,27619,27849,28318,28487,28912,29245,29264,29736,30010,35412,42385,49202,50186,50379,50822,51159,51567,51817,56761,57048,57048,57151,57188,59619,60936,61429,61911,62181,62958,63489,66364,69453,71617,72526,72526,73259,73500,74543,75272,76203,76419,76487,77313,77710,78975,79856,81260,82442,82839,84198,84650,85452,86042,86651,86960,44844.0
Upper Dibang Valley,1404,1404,1441,1478,1507,1540,1553,1550,1556,1556,1585,1587,1605,1611,1611,1611,1695,1696,1696,1716,1733,1733,1733,1735,1762,1762,1762,1762,1763,1816,1816,1830,1830,1857,1857,1920,1933,1946,1984,1995,2003,2021,2025,2025,2036,2036,2036,2161,2263,2326,2434,2506,2548,2581,2635,3702,3802,3802,3886,3886,3960,3964,4031,4041,4088,4172,4232,4232,4242,4295,4295,4295,4295,4497,4501,4518,4521,4595,4595,4595,4627,4634,4641,4645,4653,4656,4656,4746,4866,4866,4909,4961,2864.0
East Kameng,5505,5519,5581,5638,5715,5822,5989,6082,6095,6242,6344,6441,6496,6551,6614,6614,6901,7160,7375,7591,7798,7903,7903,8191,8243,8252,8266,8316,8325,8325,8360,8385,8471,8752,9000,9390,9686,10066,10174,10340,10534,10737,11123,11450,11746,11945,12073,12256,12324,12357,12369,12544,12764,12966,13204,15313,15790,16329,16750,17058,17265,17345,17429,17602,17968,18238,18499,18794,18979,19187,19458,19641,19790,20041,20211,20926,21702,22448,22784,22959,23201,23315,23387,23541,23681,23932,24068,24190,24257,24337,24383,24494,13479.0
East Siang,15131,15141,15421,15656,15890,16260,16588,16678,16681,16907,17133,17300,17433,17469,17534,17546,17891,18156,18372,18790,18894,18995,19001,19042,19087,19121,19256,19303,19310,19312,19375,19383,19427,19539,20352,21122,21122,21816,22145,22411,22722,22853,22865,22865,22894,22907,23714,24647,25662,26352,26353,28113,29945,31738,33819,44299,45364,45598,47133,48017,48883,49738,50703,51356,51539,52795,53942,55334,56404,57490,58528,58721,59341,59812,60365,60841,61274,61563,61587,62105,62589,62940,63295,63670,63893,63900,64150,64395,64730,65092,65341,65456,35387.0
Papum Pare,24732,24943,25552,26169,26745,27353,27886,28373,28630,28764,28926,29081,29308,29523,29736,29907,30397,31133,31935,32351,32797,33003,33123,33271,33430,33531,33679,33777,33842,33897,33975,35920,41403,45741,50177,52515,52795,53003,53274,53466,54289,55008,56366,57604,58717,59960,61062,62094,63406,64728,65551,66359,67303,68488,69499,78323,79397,80008,80911,81741,82476,83304,84267,85320,85934,86951,88297,89373,90290,91247,92588,93362,94484,95875,97835,99187,100746,102520,103346,104810,106245,107648,108878,110166,111343,111800,112633,113474,114340,115019,115711,116395,64182.0
Kamle,1246,1248,1316,1328,1462,1523,1583,1612,1612,1624,1624,1674,1713,1713,1713,1713,1841,1929,2024,2084,2184,2184,2184,2220,2240,2240,2250,2250,2270,2270,2270,2270,2270,2270,2270,2286,2286,2322,2346,2373,2373,2393,2491,2491,2601,2601,2649,2649,2658,2686,2686,2724,2839,2972,2994,3573,3582,3582,3641,3681,3761,4007,4117,4363,4425,4527,4551,4655,4735,4850,5075,5142,5210,5394,5550,5550,5669,5869,5926,6032,6043,6141,6282,6392,6402,6402,6517,6599,6634,6752,6758,6784,3400.0
