District,01-02-2021,02-02-2021,03-02-2021,04-02-2021,05-02-2021,06-02-2021,07-02-2021,08-02-2021,09-02-2021,10-02-2021,11-02-2021,12-02-2021,13-02-2021,14-02-2021,15-02-2021,16-02-2021,17-02-2021,18-02-2021,19-02-2021,20-02-2021,21-02-2021,22-02-2021,23-02-2021,24-02-2021,25-02-2021,26-02-2021,27-02-2021,28-02-2021,01-03-2021,02-03-2021,03-03-2021,04-03-2021,05-03-2021,06-03-2021,07-03-2021,08-03-2021,09-03-2021,10-03-2021,11-03-2021,12-03-2021,13-03-2021,14-03-2021,15-03-2021,16-03-2021,17-03-2021,18-03-2021,19-03-2021,20-03-2021,21-03-2021,22-03-2021,23-03-2021,24-03-2021,25-03-2021,26-03-2021,27-03-2021,28-03-2021,29-03-2021,30-03-2021,31-03-2021,01-04-2021,02-04-2021,03-04-2021,04-04-2021,05-04-2021,06-04-2021,07-04-2021,08-04-2021,09-04-2021,10-04-2021,11-04-2021,12-04-2021,13-04-2021,14-04-2021,15-04-2021,16-04-2021,17-04-2021,18-04-2021,19-04-2021,20-04-2021,21-04-2021,22-04-2021,23-04-2021,24-04-2021,25-04-2021,26-04-2021,27-04-2021,28-04-2021,29-04-2021,30-04-2021,Mean Vaccination
Janjgir Champa,9182,9182,9303,9661,10228,11912,11912,12388,12643,13030,13374,13649,14356,14356,14676,15028,15739,14907,16410,16410,16410,16428,16428,16428,16428,16427,16427,16427,16427,16833,17198,18567,20254,21939,21944,23521,25077,26561,26579,28166,30420,30420,33768,33771,39523,42045,44226,46053,46083,48219,48825,50354,51863,53467,57030,64828,64828,69041,73680,80501,99867,115637,121115,121142,123390,130637,143552,155662,174011,185059,185072,197105,197178,197183,209072,218793,224909,230351,234754,238297,241381,244787,247824,249611,251677,253827,256224,257925,260924,83469.0
Jashpur,6996,6996,7443,7818,8100,9416,9551,10361,10936,11571,12227,12883,13415,13415,13717,14699,15866,14767,17774,17774,17774,17774,17774,17774,17774,17732,17732,17733,17733,18223,18715,19734,20913,22071,22071,23214,24422,25848,25848,27128,28189,28189,29853,29867,34744,38538,39924,43702,43900,47580,48845,52704,54471,55066,59552,59552,59552,59931,61851,59899,61848,65573,71910,76497,80393,90824,99838,107365,112619,118356,124437,126002,131094,133633,134242,137594,140234,142681,145037,146255,148587,151156,153000,154358,155557,156494,157295,158058,160630,58665.0
Uttar Bastar Kanker,12913,12913,13295,13602,14056,14832,14832,15224,15377,15841,15959,16078,16183,16183,17750,20001,24061,20183,26980,27067,27067,27067,27067,27067,27067,27054,27054,27054,27054,28196,29274,30828,33091,35946,35953,38843,41557,44997,45355,48261,51007,51885,55535,55583,61985,64294,66532,68253,68374,69817,70849,71733,72246,73150,74604,74687,74687,75016,75705,67363,75479,84983,96429,98604,100349,103263,111433,116162,117482,121199,126473,126942,126930,126918,126897,132314,136033,139400,141433,143368,145918,147256,148683,149361,150167,150645,151053,151421,151765,67875.0
Kabeerdham,6013,6023,6246,6629,8310,8582,8586,8744,8842,9150,9375,9463,9734,9743,10004,10441,11087,10504,12069,12069,12069,12069,12069,12069,12069,11862,11862,11862,11862,12170,12445,12732,13045,13616,13616,14062,14297,14774,14774,15042,15726,15726,16510,16520,17747,18626,20559,23757,24245,26249,28573,31526,34255,36366,38890,39043,39043,40948,43725,43792,49222,54292,59048,59289,59614,62160,67610,71204,75347,77391,82085,87385,90566,91693,95067,99293,101848,103890,105758,107246,108839,111545,113737,114642,115494,116925,117710,117939,118112,40975.0
Kondagaon,5348,5486,5719,5879,6489,6666,6666,6781,7182,7543,7650,7856,7898,7898,8187,8973,9839,9497,10439,10439,10439,10439,10439,10439,10439,10422,10422,10422,10422,10916,11498,12267,13065,13875,13884,14898,16300,17699,17936,19187,20544,20589,23260,23304,26077,28595,30014,31574,31697,32548,33332,34013,34870,35557,38985,39003,39003,39599,41514,41077,44393,47145,51053,52868,54173,55051,58455,61900,64725,66487,68547,70782,72205,72231,72232,75587,77966,81904,84645,85975,90039,92787,96889,99287,100652,100920,101149,101233,104278,36613.0
Korba,9390,9441,10017,10626,11235,11826,12153,12711,13216,13515,13823,14335,14836,14836,15447,16293,17392,16256,18487,18487,18487,18490,18490,18490,18491,17881,17881,17881,17881,18476,19016,19948,21436,23032,23094,24879,26192,27641,27798,29348,32923,37155,44566,44640,57204,59678,60925,62963,63069,64913,66609,67677,69381,71483,74943,76846,76871,79064,84885,88529,104433,117160,130907,133174,135949,144963,163433,177797,186694,195573,204098,212440,215193,215782,224419,231033,235801,239220,241444,243577,247413,251062,252873,254514,256484,257570,258606,259687,261504,90295.0
Koriya,4556,4556,4633,5022,5124,5500,5697,6083,6345,6768,7333,7663,7960,7960,8554,9456,10386,9568,11540,11603,11603,11611,11615,11628,11628,11444,11444,11444,11444,11868,12200,12637,13119,13827,13832,14818,15773,16589,16968,17790,18676,18676,20166,20172,23391,25037,26648,28001,28037,29048,29932,30802,31605,32473,34911,35875,35875,36518,37626,38094,43659,49138,56402,57624,58641,62009,68529,73128,76264,79195,81989,83932,85136,85485,85702,86219,88923,91768,93479,94884,96640,98800,100340,100910,102297,102954,103597,104057,104435,38284.0
Mahasamund,7257,7358,7770,8096,8932,9182,9182,9534,9759,9995,10281,10524,10814,10814,11079,11394,12538,11937,13793,13793,13793,13822,13822,13822,13822,13509,13509,13509,13509,14629,15775,17671,18751,20992,21012,23059,23948,26439,26447,27566,31200,31210,36586,36608,48521,57763,64095,73452,74094,77845,79900,81600,87387,92103,102140,102150,102150,108672,116935,123223,141329,149313,160119,166681,172583,184468,199810,206605,214088,219443,224453,225617,228217,229462,229792,230832,230956,231210,231429,231500,231590,231682,231750,231803,231876,231915,231968,232307,233070,93112.0
Mungeli,3126,3156,3299,3443,3470,4161,4472,4559,4726,4939,5159,5343,5633,5633,5891,6223,6774,5932,7147,7147,7147,7147,7147,7211,7211,7191,7191,7191,7191,7549,7916,8373,9080,9965,9977,11019,11573,12383,12391,13021,14025,14048,15840,15847,18179,19311,20155,21091,21143,21778,22285,22932,23705,24632,28695,31679,31691,34762,39411,42850,57679,64113,65433,65652,67769,76770,88903,97557,105327,107952,113175,115993,118439,119254,121241,123241,124718,125935,126620,126853,127259,127479,127543,127653,127778,127895,127964,128065,128127,44096.0
Narayanpur,3148,3155,3208,3266,3389,3552,3553,3675,3820,3978,4279,4287,4828,4828,5797,6374,6937,6012,7482,7482,7482,7482,7482,7482,7482,6971,6971,6971,6971,7220,7400,7545,7706,7852,7852,7977,8147,8162,8162,8215,8286,8291,8422,8442,8986,9394,9566,9731,9777,9834,10070,10119,10231,10311,10387,10387,10387,10407,10453,8596,8848,9659,10829,11336,12141,12760,13148,13363,13819,14128,15236,15909,16200,16743,17235,17479,17598,17914,18279,18574,18830,19295,19684,19704,19843,20143,20230,20384,20539,10185.0
Raigarh,13601,13601,14015,14713,15428,17119,17120,17784,18484,18921,19204,19579,19720,19720,19914,20740,22918,21750,24161,24161,24161,24161,24161,24163,24163,23337,23337,23337,23337,24778,26324,28341,30393,32514,32591,34787,36632,38738,38766,41632,44257,44700,49019,49045,56180,60947,65715,70919,71081,74175,74814,75497,80732,89245,101437,101483,101483,108532,122407,134503,158297,171748,191970,200812,205345,214905,242119,262936,283783,298037,309782,315120,316706,317904,326380,333097,335985,338377,339535,340467,341483,342488,343112,343912,344442,344594,344924,346214,350367,125093.0
Raipur,27096,27302,27957,28833,29539,30199,31411,32661,33820,35292,36073,37219,38180,38180,40590,42540,50663,46351,57765,57765,57769,57771,57772,57773,57773,57501,57501,57501,57501,58924,60229,61519,63262,65637,66486,69252,71972,74938,75378,78189,81142,81477,84585,84602,90388,93575,96473,99862,100259,103097,105676,108614,111944,115568,121306,121482,121482,121800,129750,142659,165903,182294,211250,227792,241895,270097,285894,295997,306716,317568,326419,331550,336894,340738,342895,344490,345223,346173,346931,347732,348827,349967,351061,351986,353279,354389,355352,356842,358581,148591.0
Rajnandgaon,17121,17157,17188,18039,18633,20501,20722,21009,21283,21942,22615,23343,24012,24012,24491,24851,25530,24124,25975,25989,25989,25989,25989,25989,25989,25745,25745,25745,25745,26229,26665,27323,28028,29064,29199,30322,31137,31935,32250,33117,34247,34405,35493,35494,38667,40942,42932,45811,45974,48734,50853,53310,56465,60943,68009,72579,72622,73990,81619,90217,112638,124998,145171,156264,166591,191510,209505,222869,236277,251077,264930,274126,281311,284977,286963,288679,289088,289771,290246,290707,291071,291425,291726,291935,292207,292428,292727,293004,293312,105254.0
Sukma,13688,13688,13736,13776,13836,13874,13874,14159,14455,15026,15138,15384,15870,16698,18535,19791,20872,19131,22267,22277,22277,22277,22277,22277,22277,22160,22160,22160,22160,22744,23105,23418,23916,24994,25085,25643,26393,27021,27185,27883,28684,28810,29617,29621,30992,32143,33863,35645,36036,37348,38651,39728,40696,41177,42268,42606,42643,43132,44372,38951,40807,42540,45845,46942,47992,48581,49460,50937,51848,52742,54090,54596,55125,55193,55381,55880,57306,59065,60072,60747,61294,62691,63876,64233,64441,64768,64928,65061,65305,35531.0
Surajpur,7193,7269,7540,7938,8503,8902,8916,9167,9526,10109,10357,10551,10661,10661,11153,11493,12000,11580,12542,12664,12668,12670,12670,12670,12670,11939,11939,11939,11939,12315,12748,13171,13585,13979,13979,14350,14647,15002,15002,15263,15708,15708,16545,16545,18674,21021,24109,29573,29846,32733,33372,33563,34071,36267,41813,47978,48120,49424,52974,55217,64093,71360,78480,78870,79819,84648,93893,99439,104391,109037,117672,119476,120186,120357,120427,130071,136513,139925,141898,142491,148153,151785,154446,157153,160082,162243,163754,164719,167523,52809.0
Surguja,7193,7270,7763,8395,9028,9640,9645,10133,10533,11186,11626,12164,12589,12589,13995,14766,15477,15374,16371,16432,16446,16453,16453,16453,16453,15787,15787,15787,15787,16172,16971,18559,20733,23623,23747,25807,28177,31227,31422,33546,36341,36704,40107,40189,45918,48867,51515,54182,54401,56191,58316,60670,62816,65808,70603,71118,71118,72460,74955,73356,79997,88064,106272,111970,114988,119806,131610,141321,147177,153641,159953,163872,172553,178926,183132,188394,192847,197169,200917,202788,205939,208990,210943,212518,213918,215032,215915,216911,217860,75805.0
Dadra and Nagar Haveli,1778,1953,2003,2189,2427,2754,2754,2935,3203,3524,3590,3704,3810,3810,4018,4704,5428,5428,6511,6512,6512,6512,6512,6512,6512,6214,6214,6214,6214,6566,6744,7059,7525,7800,7808,8063,8274,8438,8438,8849,9061,9061,9286,9287,9611,9833,10056,10359,10386,10549,10741,10914,11193,11476,11725,11725,11730,11923,12123,13372,15643,17367,19022,20990,22174,24543,26720,28436,29930,31193,32891,33726,34429,35177,35992,36504,36672,37077,37470,37643,37860,38117,38290,38333,38498,38690,38831,39016,39288,15404.0
Daman,1054,1075,1154,1367,1419,1501,1501,1503,1505,1534,1534,1588,1627,1627,2121,2287,2570,2464,2633,2636,2636,2636,2636,2636,2636,2636,2636,2636,2636,2948,3122,3255,3473,3746,3746,3934,3934,4196,4196,4392,4512,4512,4666,4666,5260,5314,5821,5987,5990,6445,6782,7108,7172,7557,7678,7678,7678,7993,8312,8401,9682,11200,12436,13684,14598,16879,18085,19592,21178,22152,23332,23912,24547,24793,25183,25729,25890,26213,26699,26909,27144,27387,27628,27687,27859,28023,28197,28381,28688,10029.0
Diu,693,675,685,705,722,738,738,790,798,798,798,798,798,798,825,917,930,770,976,976,976,976,976,976,976,975,975,975,975,1315,1496,1664,1851,1994,1994,2134,2343,2550,2550,2744,3024,3024,3346,3347,3817,3934,4092,4274,4284,4425,4571,4652,4719,4818,4927,4955,4955,5063,5185,5298,5612,5857,6037,6247,6412,6891,7351,7690,8022,8153,8480,8729,8883,9093,9453,9731,9803,9950,10124,10216,10410,10620,10798,10885,11017,11101,11188,11283,11382,4443.0
Central Delhi,21466,21971,22537,22928,23556,23964,23964,25070,25918,26889,28119,30138,33143,33166,38439,46506,56794,34864,62127,65993,66003,66035,66035,66035,66035,65367,65367,65367,65367,66767,68211,69643,71094,72544,72546,74259,75776,77245,78514,80309,81943,81961,83910,83942,87071,89104,90753,92656,92725,94483,96209,97718,99481,100762,102487,102513,102529,104151,105778,115281,120989,126534,133105,138881,142990,150220,159461,165103,173361,179560,186690,191717,196863,202747,207206,211821,214856,218435,221241,224466,228610,230942,234957,237547,240535,243229,245055,248964,251559,108979.0
East Delhi,20287,20478,20708,20890,20970,21146,21146,21274,21441,21832,22443,23638,24625,24625,26198,29090,32220,27865,34490,34490,34490,34490,34490,34490,34490,33767,33767,33767,33767,34961,35783,36488,37211,37896,37896,38804,39654,40570,41165,41819,42650,42650,43369,43369,44486,45077,45564,46451,46467,47262,48207,48779,49999,50513,51646,51648,51648,52897,53570,68972,73857,77869,83357,87669,90369,95490,102023,105916,112431,118265,123506,126933,131345,135335,137887,141664,144707,147261,149689,152780,155887,157909,161415,164095,166621,169053,170837,174187,176598,67751.0
New Delhi,49825,50207,50774,51275,52058,52790,52789,53447,54840,56885,59647,62733,64992,68837,73262,76479,80228,66050,82199,82199,82199,82203,82203,82203,82203,50236,50242,50242,50242,51554,52342,53504,54358,55370,55370,56610,57818,58495,59409,60052,61097,61097,62318,62320,64330,65594,66364,67541,67551,68908,70264,71090,72631,73472,74984,75012,75011,76556,77646,89817,95149,100317,106482,111980,115844,122777,130872,135611,143443,148931,155981,162019,166416,172708,176745,180854,183360,188002,191378,193873,198040,200184,204025,206413,209728,213051,214684,219374,222167,98229.0
North Delhi,24560,24977,25369,25694,26296,26681,26681,27136,27566,28078,29071,30065,31046,31136,32794,34687,36677,33453,38339,38339,38339,38339,38339,38339,38339,38337,38337,38337,38337,39083,39522,40225,40665,41595,41595,42343,42987,43578,44237,44909,46146,46146,47440,47442,49153,50251,50795,52189,52226,53526,55107,55860,57811,58649,60890,60890,60890,63102,64194,59580,63541,67977,74506,79412,82829,88534,96768,99784,107438,113404,119434,123729,128462,133173,135006,139854,143317,146357,149383,152886,157123,158258,162585,165236,168021,170603,171511,175178,176363,70195.0
North East Delhi,32152,32366,32660,33065,33438,34026,34026,34126,35083,35558,36072,36565,37198,37198,38044,39697,40614,39672,41422,41422,41422,41422,41422,41422,41422,41422,41422,41422,41422,41655,41863,42392,42688,42969,42969,43206,43512,43646,43916,44027,44496,44501,44903,44903,45399,45882,45972,46433,46445,46890,47445,47577,48073,48484,49089,49089,49089,49491,49623,59960,64299,67488,73429,76891,79790,83979,88950,90610,95502,100525,104220,106587,109291,111596,112609,115073,117286,118549,119976,121754,123805,124715,126760,128198,129556,130792,131579,133289,134517,63432.0
North West Delhi,32338,32876,33501,34382,35287,36350,36350,38352,41415,44577,48750,53695,59261,59261,63930,69049,75304,67173,79988,79988,79988,79988,79988,79988,79988,79987,79987,79987,79987,80865,81657,82378,83085,83867,83870,84850,85747,86564,87417,88232,89537,89537,90888,90888,93203,94814,95694,97487,97530,99283,101146,102240,104339,105510,107899,107899,107899,110544,112019,130670,139061,146140,156578,164842,169851,178254,190616,195465,206498,216497,225428,232086,239366,246596,249189,256649,262573,266886,271229,276079,281844,283484,289279,293316,297522,301405,302466,307583,309201,130958.0
Shahdara,14019,14300,14580,14773,15078,15287,15287,15494,15796,16337,17244,18205,19061,19061,19916,21253,25793,20759,30173,30173,30174,30175,30176,30176,30176,29159,29159,29159,29159,29911,30497,31238,31961,32692,32692,33453,34143,34865,35372,36009,36741,36741,37560,37560,39247,40174,40923,42053,42068,43295,44451,45159,46372,47140,48419,48419,48419,49691,50659,78084,82920,86798,92783,97379,100807,106825,114546,119003,125995,133036,139225,144012,148954,153328,156137,159955,163184,165619,167913,170899,174330,176298,179545,182069,184774,187225,188819,192003,193905,69600.0
South Delhi,24963,25241,25518,25885,27490,27997,28002,29138,29552,29883,30668,31740,36584,36584,41638,70214,83351,50961,98408,98408,98408,98408,98408,98408,98408,96159,96159,96159,96159,96975,97624,98273,98940,99750,99765,100875,101893,102848,103596,104483,105459,105467,106427,106430,107966,108920,109763,110839,110874,111976,113202,114199,115360,116367,117635,117635,117635,119010,120390,121943,126773,131734,137961,142726,146304,152977,160363,165409,173068,178581,185153,190467,195934,201273,205259,209456,212307,216159,219093,222065,226041,228355,232143,234779,238193,241357,243417,247812,250603,121429.0
South East Delhi,15819,16216,16598,16904,17537,18230,18230,18739,19791,20861,22458,23807,25316,25316,26438,29078,34514,25242,39007,39007,39007,39008,39008,39009,39011,36467,36467,36467,36467,37763,38651,39629,40541,41676,41676,43406,45181,46598,48152,49191,50703,50703,52433,52436,55021,56492,57412,59248,59479,61017,62698,63707,65389,66458,68534,68607,68622,70751,72123,101088,106986,111990,118274,123147,126834,132910,140623,144338,151751,157639,163665,168435,172979,177817,180718,184877,188090,191640,194481,197593,201356,203071,207120,210104,213091,215824,217139,220574,222407,85291.0
South West Delhi,45277,45433,45692,46238,46640,47599,47599,48700,50022,52638,56128,59164,62348,62350,65482,70804,76089,63787,81589,81592,81592,81592,81594,81623,81624,74078,74078,74078,74078,75141,75667,76533,77070,77965,77965,78810,79628,80104,80776,81308,82215,82215,83149,83151,84447,85372,85967,87185,87202,88343,89400,90294,91720,92335,94655,94674,94674,96931,97968,97139,105120,111637,121132,128082,133203,141602,153364,159212,170910,180521,189655,196846,205070,213598,218071,226019,232443,239346,245192,252387,260503,264415,272852,274809,281623,287642,290554,297685,301341,119824.0
West Delhi,29461,29861,30258,30710,31731,32198,32198,32556,33202,34244,35593,37514,40018,40018,43981,49334,57979,50944,65147,65147,65147,65147,65147,65147,65147,65147,65147,65147,65147,66527,67710,69024,70325,72160,72194,74375,76397,77941,79660,81410,84133,84133,87484,87491,92575,95880,97609,101384,101537,104827,109520,111340,117110,118937,124637,124714,124714,129787,131580,165316,174193,182935,193141,201816,207225,215545,227986,232695,244953,253650,262536,269171,276594,283811,286868,294877,300184,304498,308696,313021,318458,319750,325254,328786,332306,335495,336447,341486,342990,139396.0
North Goa,11876,12204,12758,13272,13818,14310,15492,15814,16433,16995,17618,18915,19713,19714,21170,21462,22763,20145,23167,23167,23167,23167,23167,23167,23167,22852,22852,22852,22852,24534,26014,27570,29242,30773,30773,32379,33884,35407,36337,38258,39913,39915,42110,42120,45598,46530,47536,48464,48471,49549,50882,51850,52874,53820,54775,54774,55105,56224,57108,50734,52260,53507,54476,55534,56527,58870,60898,62985,66494,71467,74912,76560,80954,84266,88309,93494,97054,99755,102973,105440,108450,111081,113943,115572,118460,121840,124728,127663,131144,50126.0
South Goa,7908,8043,8171,8327,8439,8439,8495,8843,8928,9430,10627,11939,12048,12048,12669,13165,13797,13147,14301,14301,14301,14301,14301,14301,14301,14301,14301,14301,14301,16264,18108,20291,22082,23436,23456,25068,26595,27744,28903,31270,33124,33124,35935,35954,40296,41651,43398,45098,45130,46728,48193,49775,51167,52695,54070,54070,54431,56208,57476,54692,56607,58012,59403,61099,62164,65126,67530,70283,73891,75711,79611,81646,86489,89643,94265,98384,101314,105106,109283,112840,116111,119356,123601,125881,129820,134356,138074,142086,145981,48560.0
Ahmedabad,33071,33150,36328,36739,37371,39989,40102,40445,40733,41028,41407,41595,41646,41675,41861,42024,42504,42461,42861,42927,42927,42927,42931,42931,42949,37731,37731,37731,37731,39739,40237,42071,43659,44967,44989,46482,47948,48019,48019,50879,53379,53379,55741,55751,223536,236879,248713,260949,267029,276907,286997,295453,308482,331710,357065,368427,368447,391132,413598,161686,177576,187393,201545,212432,221982,232766,243858,255157,263347,272971,283465,291735,297579,300722,302194,305538,308972,313874,318726,321128,324414,326389,328893,330953,333236,334984,337045,339082,340646,168386.0
Ahmedabad,50800,51499,57073,60088,65476,71909,75422,78422,80841,83798,86290,88652,91655,93903,97341,102953,108080,100317,117288,117459,117459,117501,117533,117588,117638,108331,108331,108331,108331,113946,121003,129541,139299,149836,149836,162961,173448,173606,173606,186003,196636,196646,208514,208545,59847,69735,78350,87600,94891,101730,112778,119853,130336,141921,151466,154733,154741,161928,169779,475967,512285,543222,577652,598176,609179,631669,654486,674649,697403,713395,727761,740368,751039,760339,769747,782432,789401,797901,806017,813461,822194,833104,845474,853739,864103,875319,886608,900076,915089,328041.0
Amreli,14325,14689,18463,19966,20066,20202,20254,20548,20688,20800,20912,21041,21087,21100,21118,21135,21161,21162,21170,21177,21177,21189,21191,21191,21192,20707,20707,20707,20707,23650,24550,27540,30802,33599,34358,38584,42868,44340,46166,48937,51924,52623,55989,56019,60721,65553,71315,79064,86869,92275,101077,105854,114583,121653,130281,134933,135081,140695,146113,149042,161537,167746,177691,183985,189985,199754,208269,214382,219129,223294,226638,229186,231046,232608,233738,234933,235819,236751,237556,238132,238934,239568,240133,240637,241419,242157,242605,243167,243797,105522.0
Anand,15490,15827,19507,21412,21791,22116,22685,23238,23703,24104,24506,24693,25039,25202,25215,25265,25459,25354,25536,25569,25575,25591,25640,25658,25675,24838,24838,24838,24838,29664,34425,40087,45948,51413,51477,57223,61900,62561,62561,68922,72714,72716,79077,79118,83862,89975,95985,104820,115669,124030,136813,145246,155303,163296,171135,175180,175553,181238,185291,192249,208818,221182,243585,250931,258241,269940,281099,290119,298724,306643,313304,319442,324891,330144,332500,337547,339847,344376,348516,351592,354311,357648,360350,363433,366300,368326,370807,373833,377475,147400.0
Aravalli,9157,13106,13297,13549,14156,14836,15749,16619,17245,17771,17986,18614,18782,19001,19023,19260,19295,19369,19499,19503,19503,19504,19504,19509,19518,16673,16673,16673,16673,23198,24442,30366,36004,40546,40608,45028,49112,49563,49563,53752,57159,57159,60376,60423,65382,70515,75214,79889,84393,88054,93316,97111,102320,107638,112078,113146,113172,116277,118864,122468,134862,142786,154131,159248,162134,166222,172806,179152,184766,189667,193990,198210,201927,204096,207053,209800,211859,214049,216371,217202,218916,220173,221748,222901,224362,225449,226148,227906,229665,95222.0
Banaskantha,26392,26510,26812,27278,37567,39994,40726,41491,42229,42565,43193,43217,43226,43426,43427,43648,43899,43768,44210,44212,44784,44785,44786,44786,44786,39869,39869,39869,39869,40879,42184,47695,58151,66509,66668,73183,79629,82183,82601,86002,93405,93847,103334,103539,114525,120990,131545,139435,143080,149897,161376,170904,186792,203009,220777,226399,228048,237973,245914,242751,272967,291062,323250,340160,353932,375448,406019,423272,443350,452751,470912,482887,494605,502214,509880,519176,524637,530903,542304,548920,553044,559318,564513,567224,573375,580707,584643,590331,597509,215660.0
Bharuch,9825,10154,13487,17964,20543,21697,22148,23682,25071,26787,27388,28198,28237,28476,30090,30675,30791,28913,31298,31307,31307,31309,31322,31322,31340,26070,26070,26070,26070,29285,29458,31812,34359,36772,36772,39729,42397,42413,42413,44835,46806,46820,49932,49938,52098,55778,60618,67554,73247,78122,84109,88323,93411,98192,102684,105486,105539,109072,112405,118079,129165,138132,145844,151740,155167,158761,165770,171800,177546,180454,183461,186758,188706,191163,193687,195936,196861,198957,201129,202994,204945,207014,209249,210300,212196,214384,216049,218426,221026,91952.0
Bhavnagar,8693,10086,12251,12905,13595,13804,15295,15429,17328,17909,18509,18857,19543,19659,19914,21198,22305,22522,24581,24581,24581,24590,24591,24591,24591,21811,21811,21811,21811,23689,23892,25698,27447,29120,29149,30798,32301,32640,32650,34253,35500,35500,37142,37175,30399,32103,33476,35736,36961,39064,41019,44478,48448,53374,56673,57751,57751,61091,63591,120899,132388,142632,155954,162026,166540,174199,180767,185840,191275,196364,201270,205584,208707,211993,214910,216613,217856,219328,221441,222700,224261,225916,227399,228910,230662,232299,233615,235408,237178,86999.0
Bhavnagar,9039,9330,9739,10528,10688,10830,10936,11135,11457,11827,11931,12007,12085,12088,12128,12128,12133,12314,12148,12315,12315,12315,12637,12709,12725,12725,12725,12725,12725,14519,15708,16898,18818,20633,20633,22523,24120,24120,24120,26242,27478,27478,29144,29154,38622,43849,49149,57830,66393,72246,80873,85621,92050,99323,107535,108896,109151,114947,120795,68080,75403,83098,91537,93495,94773,96826,98967,100059,101533,102896,103824,104632,105196,105751,106258,107228,107560,108092,108643,109052,109628,110258,111106,111457,112095,112731,113396,114435,115962,56328.0
Botad,4063,4202,4712,6240,6452,7478,7630,7764,8547,8575,8613,8667,8784,9005,9005,9005,9005,8860,9061,9068,9068,9068,9068,9068,9076,8703,8703,8703,8703,9274,9407,9545,9860,10553,10553,11057,11768,11801,11911,13297,14157,14157,14968,14978,17006,19759,21946,24490,26469,27768,30109,31790,33565,35131,36301,36449,36449,37056,37582,37354,40343,42049,44161,45089,45994,47346,48368,49182,49912,50361,50913,51278,51487,51708,51888,52118,52230,52336,52443,52575,52754,52987,53270,53477,53710,54048,54255,54476,54636,26593.0
Chhota Udaipur,8963,9390,9645,13613,14613,14942,14955,15416,16462,16500,17338,17604,17678,17678,17691,17731,17788,17774,17788,17788,17788,17788,17788,17788,17788,17788,17788,17788,17788,18117,18234,18580,19309,19574,19574,20280,20920,21160,21164,21852,21882,21882,22267,22270,22998,23274,26396,32496,37608,41717,50439,56086,61731,67106,71933,74875,75062,77906,81809,82061,88957,93531,100406,103543,106972,114346,121604,126887,128875,130058,133312,137651,140690,143990,144481,146303,148065,149852,152870,154318,156136,157894,158886,159344,160385,161422,162516,163403,163998,63738.0
Dahod,16604,19165,26406,27478,27982,28105,28152,28274,28366,29372,29953,30281,30772,30816,30849,30915,30948,30938,30948,30948,30948,30948,30948,30948,30948,29646,29646,29646,29646,38187,41528,49581,59743,73578,74562,82517,92657,95453,95519,107324,116648,121571,133403,133967,143848,151301,156454,161400,164170,165705,167497,168021,169291,170848,171867,171904,171904,172668,173294,169717,180360,188669,202950,206196,209001,217131,225977,231046,237422,241006,247006,253559,257946,260767,261555,265873,267297,271245,274552,277357,280013,282184,285730,288533,291451,294070,295441,298183,301135,137083.0
Dang,3155,3155,3163,4538,4645,4723,4759,4954,5115,5276,5323,5421,5685,5687,5690,5690,5690,4666,5706,5706,5706,5706,5706,5706,5706,5706,5706,5706,5706,5908,5908,6165,6485,6660,6663,6885,7058,7060,7060,7287,7344,7344,7441,7445,8798,9715,10523,11751,13115,13618,14721,15991,17027,18334,19605,19970,20036,20737,21373,19792,21378,22037,23074,23897,25178,26805,28131,28804,29333,30020,30570,30998,31334,31541,31681,31809,31837,32117,32295,32484,32758,32946,33144,33198,33254,33352,33459,33642,33761,15537.0
Devbhumi Dwarka,4499,8851,8901,9155,9657,10311,10695,11840,13063,13498,13717,13732,13743,13807,13829,13962,14276,14325,14437,14437,14437,14437,14437,14437,14437,12710,12710,12710,12710,13821,13978,14971,15845,16865,16866,17997,19255,19341,19552,22774,26561,27219,30102,30203,34040,36752,39597,43110,45702,47878,50427,52235,55556,58698,60586,60812,60812,62693,64764,64455,67534,70425,73733,75933,77700,80587,83464,85880,88246,89434,91196,92403,93207,94202,95409,96311,96827,97756,98846,99558,100560,101800,103041,104029,105256,106161,107186,108346,109649,47212.0
Gandhinagar,14487,14619,17124,19455,20200,20720,20823,21044,21236,21293,21663,21668,21710,21711,21716,22862,23277,21465,24202,24540,24540,24541,24543,24543,24548,24546,24546,24546,24546,29143,29794,32713,35284,37981,37988,40431,41488,41567,41588,44287,45850,45850,47546,47557,19298,20010,20562,21201,21355,21809,22260,22714,23820,25305,25864,25917,26017,27097,28093,116198,125032,131710,134568,136372,137846,141836,146654,150598,153083,153154,155650,157970,159610,160718,161872,163024,163347,164530,166320,167335,168569,170120,171444,171330,172881,174728,176102,178487,181425,70782.0
Gandhinagar,3289,3315,3328,3385,3487,3536,3830,3863,4210,4350,4477,4891,5017,5070,5701,6002,6597,6402,6868,7028,7028,7029,7029,7030,7034,5365,5365,5365,5365,7057,8360,9862,11253,12650,12650,13790,14782,15446,15736,16795,17665,17701,18407,18407,48099,51726,58552,64581,68487,73219,79640,85092,91351,97566,102698,102703,102703,107171,112538,32305,35125,37180,38995,39862,40391,41359,42184,43000,43720,44018,44470,44835,45067,45337,45599,45884,46026,46267,46481,46696,47014,47333,47888,48121,48657,49160,49629,50292,51029,33055.0
