District,01-02-2021,02-02-2021,03-02-2021,04-02-2021,05-02-2021,06-02-2021,07-02-2021,08-02-2021,09-02-2021,10-02-2021,11-02-2021,12-02-2021,13-02-2021,14-02-2021,15-02-2021,16-02-2021,17-02-2021,18-02-2021,19-02-2021,20-02-2021,21-02-2021,22-02-2021,23-02-2021,24-02-2021,25-02-2021,26-02-2021,27-02-2021,28-02-2021,01-03-2021,02-03-2021,03-03-2021,04-03-2021,05-03-2021,06-03-2021,07-03-2021,08-03-2021,09-03-2021,10-03-2021,11-03-2021,12-03-2021,13-03-2021,14-03-2021,15-03-2021,16-03-2021,17-03-2021,18-03-2021,19-03-2021,20-03-2021,21-03-2021,22-03-2021,23-03-2021,24-03-2021,25-03-2021,26-03-2021,27-03-2021,28-03-2021,29-03-2021,30-03-2021,31-03-2021,01-04-2021,02-04-2021,03-04-2021,04-04-2021,05-04-2021,06-04-2021,07-04-2021,08-04-2021,09-04-2021,10-04-2021,11-04-2021,12-04-2021,13-04-2021,14-04-2021,15-04-2021,16-04-2021,17-04-2021,18-04-2021,19-04-2021,20-04-2021,21-04-2021,22-04-2021,23-04-2021,24-04-2021,25-04-2021,26-04-2021,27-04-2021,28-04-2021,29-04-2021,30-04-2021,Mean Vaccination
Karimganj,6825,6825,6825,6924,7078,7145,7177,7363,7561,7626,7983,8184,8365,8365,8705,8886,8886,8941,10125,10125,10125,10125,10125,10125,10128,10091,10109,10109,10109,10338,10545,10988,12200,14552,15588,16590,17306,17653,17841,18134,18488,18547,18919,18935,19377,19538,19820,20152,20275,20623,24106,25134,28450,31233,32933,33207,33291,33985,34257,30772,30997,31164,31548,31745,32435,33649,34850,35591,36296,36609,36912,37162,37165,37162,37130,37093,37196,37644,39048,39894,40699,41617,42177,42547,42921,43882,44653,45845,47510,22673.0
Kokrajhar,8922,8922,8922,8965,9052,9295,9388,9623,10177,10221,10348,10883,10883,10883,10883,10883,10883,10256,11429,11430,11430,11430,11473,11495,11526,11621,11621,11621,11621,12008,12009,12676,13494,14600,14861,17062,17959,18282,18673,18815,19134,19161,19489,19489,19955,20263,20412,20576,20623,20959,22478,22643,22961,23544,24162,24168,24234,24809,24994,20907,21421,21863,22084,22552,22631,22887,23813,24676,25515,25807,26997,27596,27639,27683,27846,28092,28212,28612,29597,30820,32796,34521,35570,35911,36404,37153,38144,39216,41886,19769.0
Lakhimpur,6780,6780,6780,7132,7592,7773,8111,8184,8915,10446,11516,12126,12225,12335,12335,13239,13388,13017,14281,14312,14312,14312,14319,17844,20933,23244,23244,23244,23244,23436,23690,24242,24776,25220,25220,25726,25797,26039,26249,26543,26753,26753,27055,27055,27653,27899,28234,28595,28600,29103,34484,36076,37735,37768,37768,37768,37768,39007,39560,29345,30315,31618,32182,33749,34862,36210,36747,37060,37124,37253,37405,37483,37499,37499,37734,37938,37996,41286,44928,46470,47058,48068,48652,48649,50394,51554,52077,55903,60128,28199.0
Majuli,1660,1660,1660,1765,1788,1902,2026,2160,2378,2537,2717,2792,2792,2792,2792,2795,2796,2796,2796,2808,2808,2809,2809,3020,4724,5053,5053,5053,5053,5174,5186,5365,5563,5786,5920,6009,6066,6068,6124,6141,6190,6190,6256,6256,6379,6470,6577,6647,6647,6769,8100,8177,9195,9971,10133,10133,10133,10757,10836,9016,9605,9851,10111,10474,11092,11952,13121,14210,14422,14506,14522,14535,14535,14535,14582,14641,14672,14930,15561,15739,16403,16991,17363,17615,18127,18872,19087,19932,20639,8322.0
Morigaon,3846,3846,3846,3942,4103,4542,4557,4596,4670,4855,4999,5226,5781,5793,5997,6983,7070,5892,7193,7193,7235,7235,7235,7235,7297,7001,7001,7001,7001,8029,9328,10327,10985,11064,11064,12143,13404,13728,14005,14181,14364,14364,14600,14602,15256,15760,16432,16773,16806,17348,23635,24502,30198,32947,33575,33575,33685,33894,34030,31949,31983,32038,32183,32387,32858,33867,34891,35512,35890,36089,36320,36490,36524,36536,36537,36638,36632,37304,38784,39160,40336,40854,41051,41298,41531,41887,42166,44094,46321,20830.0
Nagaon,16533,16533,16533,16793,17052,17365,17388,17541,17678,17678,18203,18931,19290,19315,19315,19315,19315,18728,19570,19570,19570,19570,19570,19942,20785,22409,22409,22409,22409,23227,25052,27649,29750,31413,31902,33287,34350,35208,35873,36996,38428,38437,39796,39849,41521,42432,43192,43738,43754,45239,51833,55323,59204,62439,62795,62803,62813,63899,64854,54311,55828,57865,58836,60867,62381,65481,69586,71949,73664,74183,75535,76236,76323,76440,76995,77894,78627,80734,83699,86845,90234,92992,94964,95155,98133,102898,105884,108913,113829,47821.0
Nalbari,6686,6716,6716,6875,7115,7438,7438,7627,7896,8101,8350,8667,8667,8667,8667,9092,9645,9541,9905,9922,9922,9922,9922,9922,9922,9986,9986,9986,9986,10102,10346,10652,10983,11352,11352,11658,11895,12042,12269,12617,12932,12943,13441,13441,14095,14677,15051,15461,15485,15950,18320,18604,20158,21543,22036,22046,22072,22409,22608,18177,18582,18938,19020,19453,19525,19811,21440,23327,24298,24409,24918,25352,25480,25478,25476,25698,25818,27305,29293,30091,31546,32370,33084,33080,33926,35958,37733,41281,43688,17150.0
Sivasagar,8296,8296,8296,8519,8811,9020,9167,9438,9653,9995,10152,10317,10317,10317,10317,10317,10363,10197,10535,10535,10535,10535,10535,10535,10562,11538,11538,11538,11538,11951,12580,13476,14231,14741,15001,16007,16812,17383,18008,18321,18661,18661,19377,19377,20306,20868,21414,21851,21853,22571,24819,25167,27071,27181,27181,27181,27181,27882,28042,23800,25172,26300,26899,28002,28841,30194,31900,33150,33956,34393,35100,35216,35216,35214,35204,35476,35663,37309,40128,41523,43298,44662,45938,46484,47968,50541,51627,53534,56567,22878.0
Sonitpur,17198,17387,17596,17697,18081,18358,18519,18850,19454,19899,20243,20644,20836,21146,21558,21861,21913,20755,22514,22548,22669,22669,22669,22669,22669,22579,22579,22579,22579,23310,23908,24754,25591,27274,27699,28683,29527,30145,30753,31396,31919,32055,32727,32755,33686,34270,34783,35210,35293,35859,39457,40912,42816,44086,44207,44207,44212,45123,45772,35771,37240,38240,38962,40165,41048,43075,45618,46967,47671,47983,48641,49052,49046,49048,49531,50422,50875,53024,55964,58470,61376,65014,68527,69889,74690,79229,82170,85664,89685,36923.0
South Salmara Mankachar,1419,1419,1419,1419,1458,1458,1458,1458,1458,1494,1795,1950,1950,1950,1953,1958,1962,1941,1962,1962,1962,1962,2582,2582,3658,3658,3658,3658,3658,3658,3659,3684,3778,3893,3893,4017,4083,4139,4228,4283,4411,4411,4461,4461,4504,4523,4562,4622,4622,4668,5380,5576,5917,6053,6221,6256,6312,6388,6491,4578,4712,4856,4898,4948,4951,4971,5009,5053,5094,5214,5235,5292,5293,5293,5311,5362,5361,5410,5470,5542,5622,5710,5831,5878,5996,6152,6272,6372,6475,4118.0
